network_id,type,subtype,id_pair,species_1,label_1,degree_1,species_2,label_2,degree_2,number_sp_label_1,number_sp_label_2,connected,normalized_degree_sp_1,normalized_degree_sp_2,network_connectance
M_PL_018,M,PlantPollinator,22,Aegopodium podagraria,Plant,6,Ceuthorrhynchus assimilis,Pollinator,4,39,105,1,0.0571,0.1026,0.094
M_PL_018,M,PlantPollinator,23,Angelica sylvestris,Plant,17,Chrysogaster solstitialis,Pollinator,2,39,105,1,0.1619,0.0513,0.094
M_PL_018,M,PlantPollinator,24,Achillea millefolium,Plant,14,Coccinella septempunctata,Pollinator,4,39,105,1,0.1333,0.1026,0.094
M_PL_018,M,PlantPollinator,25,Angelica sylvestris,Plant,17,Crambus pratella,Pollinator,9,39,105,1,0.1619,0.2308,0.094
M_PL_018,M,PlantPollinator,26,Angelica sylvestris,Plant,17,Dasytes plumbeus,Pollinator,3,39,105,1,0.1619,0.0769,0.094
M_PL_018,M,PlantPollinator,27,Achillea millefolium,Plant,14,Eoseristalis abusivus,Pollinator,5,39,105,1,0.1333,0.1282,0.094
M_PL_018,M,PlantPollinator,28,Angelica sylvestris,Plant,17,Epuraea depressa Illiger,Pollinator,2,39,105,1,0.1619,0.0513,0.094
M_PL_018,M,PlantPollinator,29,Angelica sylvestris,Plant,17,Grammoptera ruficornis,Pollinator,1,39,105,1,0.1619,0.0256,0.094
M_PL_018,M,PlantPollinator,30,Achillea millefolium,Plant,14,Leptura rubra,Pollinator,8,39,105,1,0.1333,0.2051,0.094
M_PL_018,M,PlantPollinator,31,Angelica sylvestris,Plant,17,Leptura rubra,Pollinator,8,39,105,1,0.1619,0.2051,0.094
M_PL_018,M,PlantPollinator,32,Aegopodium podagraria,Plant,6,Melanostoma scalare,Pollinator,3,39,105,1,0.0571,0.0769,0.094
M_PL_018,M,PlantPollinator,33,Achillea millefolium,Plant,14,Polyommatus icarus,Pollinator,7,39,105,1,0.1333,0.1795,0.094
M_PL_018,M,PlantPollinator,34,Achillea millefolium,Plant,14,Sphaerophoria menthastri,Pollinator,3,39,105,1,0.1333,0.0769,0.094
M_PL_018,M,PlantPollinator,35,Allium scorodoprasum,Plant,5,Thymelicus sylvestris,Pollinator,4,39,105,1,0.0476,0.1026,0.094
M_PL_018,M,PlantPollinator,36,Angelica sylvestris,Plant,17,Volucella pellucens,Pollinator,1,39,105,1,0.1619,0.0256,0.094
M_PL_020,M,PlantPollinator,37,Arnica alpina,Plant,7,Boreellus atriceps,Pollinator,5,20,91,1,0.0769,0.25,0.104
M_PL_021,M,PlantPollinator,38,Astilbe thunbergii,Plant,38,Agelastica coerulea,Pollinator,3,91,677,1,0.0561,0.033,0.019
M_PL_021,M,PlantPollinator,39,Angelica pubescens,Plant,41,Andrena dentata,Pollinator,2,91,677,1,0.0606,0.022,0.019
M_PL_021,M,PlantPollinator,40,Angelica pubescens,Plant,41,Andrena ishiharai,Pollinator,1,91,677,1,0.0606,0.011,0.019
M_PL_021,M,PlantPollinator,41,Bistorta tenuicaulis,Plant,2,Andrena minutula,Pollinator,4,91,677,1,0.003,0.044,0.019
M_PL_021,M,PlantPollinator,42,Angelica pubescens,Plant,41,Arge similis,Pollinator,1,91,677,1,0.0606,0.011,0.019
M_PL_021,M,PlantPollinator,43,Astilbe thunbergii,Plant,38,Blitopertha orientalis,Pollinator,3,91,677,1,0.0561,0.033,0.019
M_PL_021,M,PlantPollinator,44,Agrimonia pilosa,Plant,2,Bombus diversus diversus,Pollinator,25,91,677,1,0.003,0.2747,0.019
M_PL_021,M,PlantPollinator,45,Alangium platanifolium,Plant,1,Bombus diversus diversus,Pollinator,25,91,677,1,0.0015,0.2747,0.019
M_PL_021,M,PlantPollinator,46,Astilbe thunbergii,Plant,38,Bombus honshuensis,Pollinator,25,91,677,1,0.0561,0.2747,0.019
M_PL_021,M,PlantPollinator,47,Angelica polymorpha,Plant,2,Bombus hypocrita hypocrita,Pollinator,14,91,677,1,0.003,0.1538,0.019
M_PL_021,M,PlantPollinator,48,Angelica pubescens,Plant,41,Bombus hypocrita hypocrita,Pollinator,14,91,677,1,0.0606,0.1538,0.019
M_PL_021,M,PlantPollinator,49,Aster glehni,Plant,8,Carpophilus chalybeus,Pollinator,2,91,677,1,0.0118,0.022,0.019
M_PL_021,M,PlantPollinator,50,Angelica pubescens,Plant,41,Ceratina megastigmata,Pollinator,23,91,677,1,0.0606,0.2527,0.019
M_PL_021,M,PlantPollinator,51,Aster glehni,Plant,8,Ceratina megastigmata,Pollinator,23,91,677,1,0.0118,0.2527,0.019
M_PL_021,M,PlantPollinator,52,Bistorta tenuicaulis,Plant,2,Ceratina megastigmata,Pollinator,23,91,677,1,0.003,0.2527,0.019
M_PL_021,M,PlantPollinator,53,Astilbe thunbergii,Plant,38,Cerceris carinalis,Pollinator,1,91,677,1,0.0561,0.011,0.019
M_PL_021,M,PlantPollinator,54,Angelica pubescens,Plant,41,Cheilosia omogensis,Pollinator,2,91,677,1,0.0606,0.022,0.019
M_PL_021,M,PlantPollinator,55,Astilbe thunbergii,Plant,38,Ectemnius radiatus,Pollinator,2,91,677,1,0.0561,0.022,0.019
M_PL_021,M,PlantPollinator,56,Angelica pubescens,Plant,41,Ectophasia sinensis,Pollinator,3,91,677,1,0.0606,0.033,0.019
M_PL_021,M,PlantPollinator,57,Aster glehni,Plant,8,Eristalis cerealis,Pollinator,21,91,677,1,0.0118,0.2308,0.019
M_PL_021,M,PlantPollinator,58,Astilbe thunbergii,Plant,38,Eristalis cerealis,Pollinator,21,91,677,1,0.0561,0.2308,0.019
M_PL_021,M,PlantPollinator,59,Aster glehni,Plant,8,Eristalomya tenax,Pollinator,7,91,677,1,0.0118,0.0769,0.019
M_PL_021,M,PlantPollinator,60,Angelica pubescens,Plant,41,Eucetonia roelofsi,Pollinator,6,91,677,1,0.0606,0.0659,0.019
M_PL_021,M,PlantPollinator,61,Ampelopsis brevipedunculata,Plant,10,Eurystylus coelestialium,Pollinator,5,91,677,1,0.0148,0.0549,0.019
M_PL_021,M,PlantPollinator,62,Angelica polymorpha,Plant,2,Formica japonica,Pollinator,4,91,677,1,0.003,0.044,0.019
M_PL_021,M,PlantPollinator,63,Astilbe thunbergii,Plant,38,Formica japonica,Pollinator,4,91,677,1,0.0561,0.044,0.019
M_PL_021,M,PlantPollinator,64,Angelica pubescens,Plant,41,Graphomyia maculata,Pollinator,4,91,677,1,0.0606,0.044,0.019
M_PL_021,M,PlantPollinator,65,Aster glehni,Plant,8,Helophilus virgatus,Pollinator,5,91,677,1,0.0118,0.0549,0.019
M_PL_021,M,PlantPollinator,66,Ampelopsis brevipedunculata,Plant,10,Hylaeus globula,Pollinator,8,91,677,1,0.0148,0.0879,0.019
M_PL_021,M,PlantPollinator,67,Angelica pubescens,Plant,41,Hylaeus globula,Pollinator,8,91,677,1,0.0606,0.0879,0.019
M_PL_021,M,PlantPollinator,68,Astilbe thunbergii,Plant,38,Hylaeus globula,Pollinator,8,91,677,1,0.0561,0.0879,0.019
M_PL_021,M,PlantPollinator,69,Angelica pubescens,Plant,41,Hylaeus nippon,Pollinator,1,91,677,1,0.0606,0.011,0.019
M_PL_021,M,PlantPollinator,70,Astilbe thunbergii,Plant,38,Lasioglossum apristum,Pollinator,17,91,677,1,0.0561,0.1868,0.019
M_PL_021,M,PlantPollinator,71,Astilbe thunbergii,Plant,38,Lasioglossum occidens,Pollinator,8,91,677,1,0.0561,0.0879,0.019
M_PL_021,M,PlantPollinator,72,Agrimonia pilosa,Plant,2,Lasioglossum problematicum,Pollinator,5,91,677,1,0.003,0.0549,0.019
M_PL_021,M,PlantPollinator,73,Angelica pubescens,Plant,41,Lasioglossum sexstrigatum,Pollinator,2,91,677,1,0.0606,0.022,0.019
M_PL_021,M,PlantPollinator,74,Angelica pubescens,Plant,41,Megaspis zonata,Pollinator,3,91,677,1,0.0606,0.033,0.019
M_PL_021,M,PlantPollinator,75,Aster glehni,Plant,8,Megaspis zonata,Pollinator,3,91,677,1,0.0118,0.033,0.019
M_PL_021,M,PlantPollinator,76,Angelica pubescens,Plant,41,Melanostoma scalare,Pollinator,8,91,677,1,0.0606,0.0879,0.019
M_PL_021,M,PlantPollinator,77,Aster glehni,Plant,8,Menida violacea,Pollinator,5,91,677,1,0.0118,0.0549,0.019
M_PL_021,M,PlantPollinator,78,Angelica pubescens,Plant,41,Onomaus lautus,Pollinator,2,91,677,1,0.0606,0.022,0.019
M_PL_021,M,PlantPollinator,79,Astilbe thunbergii,Plant,38,Onomaus lautus,Pollinator,2,91,677,1,0.0561,0.022,0.019
M_PL_021,M,PlantPollinator,80,Astilbe thunbergii,Plant,38,Parastrangalis nymphula,Pollinator,5,91,677,1,0.0561,0.0549,0.019
M_PL_021,M,PlantPollinator,81,Angelica pubescens,Plant,41,Pipiza inornata,Pollinator,2,91,677,1,0.0606,0.022,0.019
M_PL_021,M,PlantPollinator,82,Astilbe thunbergii,Plant,38,Popillia japonica,Pollinator,3,91,677,1,0.0561,0.033,0.019
M_PL_021,M,PlantPollinator,83,Angelica pubescens,Plant,41,Rhopalum latronum,Pollinator,8,91,677,1,0.0606,0.0879,0.019
M_PL_021,M,PlantPollinator,84,Astilbe thunbergii,Plant,38,Rhopalum latronum,Pollinator,8,91,677,1,0.0561,0.0879,0.019
M_PL_021,M,PlantPollinator,85,Astilbe thunbergii,Plant,38,Sphaerophoria menthastri,Pollinator,9,91,677,1,0.0561,0.0989,0.019
M_PL_021,M,PlantPollinator,86,Angelica pubescens,Plant,41,Trachys saundersi,Pollinator,2,91,677,1,0.0606,0.022,0.019
M_PL_021,M,PlantPollinator,87,Ampelopsis brevipedunculata,Plant,10,Vespa xanthoptera,Pollinator,7,91,677,1,0.0148,0.0769,0.019
M_PL_021,M,PlantPollinator,88,Angelica pubescens,Plant,41,Vespa xanthoptera,Pollinator,7,91,677,1,0.0606,0.0769,0.019
M_PL_024,M,PlantPollinator,89,Arnica alpina,Plant,3,Spilogona sanctipauli,Pollinator,6,11,18,1,0.1667,0.5455,0.192
M_PL_034,M,PlantPollinator,90,Berberis buxifolia,Plant,4,Bombus dahlbomii,Pollinator,21,26,128,1,0.0313,0.8077,0.094
M_PL_034,M,PlantPollinator,91,Berberis darwinii,Plant,7,Bombus dahlbomii,Pollinator,21,26,128,1,0.0547,0.8077,0.094
M_PL_037,M,PlantPollinator,35,Allium scorodoprasum,Plant,5,Thymelicus sylvestris,Pollinator,2,10,40,1,0.125,0.2,0.18
M_PL_038,M,PlantPollinator,19,Angelica sylvestris,Plant,17,Anaspis rufilabris,Pollinator,2,8,42,1,0.4048,0.25,0.235
M_PL_038,M,PlantPollinator,20,Angelica sylvestris,Plant,17,Aphantopus hyperantus,Pollinator,1,8,42,1,0.4048,0.125,0.235
M_PL_038,M,PlantPollinator,21,Angelica sylvestris,Plant,17,Byturus aestivus,Pollinator,3,8,42,1,0.4048,0.375,0.235
M_PL_038,M,PlantPollinator,23,Angelica sylvestris,Plant,17,Chrysogaster solstitialis,Pollinator,2,8,42,1,0.4048,0.25,0.235
M_PL_038,M,PlantPollinator,25,Angelica sylvestris,Plant,17,Crambus pratella,Pollinator,3,8,42,1,0.4048,0.375,0.235
M_PL_038,M,PlantPollinator,26,Angelica sylvestris,Plant,17,Dasytes plumbeus,Pollinator,3,8,42,1,0.4048,0.375,0.235
M_PL_038,M,PlantPollinator,28,Angelica sylvestris,Plant,17,Epuraea depressa Illiger,Pollinator,1,8,42,1,0.4048,0.125,0.235
M_PL_038,M,PlantPollinator,29,Angelica sylvestris,Plant,17,Grammoptera ruficornis,Pollinator,1,8,42,1,0.4048,0.125,0.235
M_PL_038,M,PlantPollinator,31,Angelica sylvestris,Plant,17,Leptura rubra,Pollinator,2,8,42,1,0.4048,0.25,0.235
M_PL_038,M,PlantPollinator,36,Angelica sylvestris,Plant,17,Volucella pellucens,Pollinator,1,8,42,1,0.4048,0.125,0.235
M_PL_043,M,PlantPollinator,18,Achillea millefolium,Plant,14,Adscita statices,Pollinator,6,28,82,1,0.1707,0.2143,0.109
M_PL_043,M,PlantPollinator,22,Aegopodium podagraria,Plant,6,Ceuthorrhynchus assimilis,Pollinator,3,28,82,1,0.0732,0.1071,0.109
M_PL_043,M,PlantPollinator,24,Achillea millefolium,Plant,14,Coccinella septempunctata,Pollinator,4,28,82,1,0.1707,0.1429,0.109
M_PL_043,M,PlantPollinator,27,Achillea millefolium,Plant,14,Eoseristalis abusivus,Pollinator,5,28,82,1,0.1707,0.1786,0.109
M_PL_043,M,PlantPollinator,30,Achillea millefolium,Plant,14,Leptura rubra,Pollinator,5,28,82,1,0.1707,0.1786,0.109
M_PL_043,M,PlantPollinator,32,Aegopodium podagraria,Plant,6,Melanostoma scalare,Pollinator,1,28,82,1,0.0732,0.0357,0.109
M_PL_043,M,PlantPollinator,33,Achillea millefolium,Plant,14,Polyommatus icarus,Pollinator,6,28,82,1,0.1707,0.2143,0.109
M_PL_043,M,PlantPollinator,34,Achillea millefolium,Plant,14,Sphaerophoria menthastri,Pollinator,3,28,82,1,0.1707,0.1071,0.109
M_PL_047,M,PlantPollinator,92,Calluna vulgaris,Plant,70,Anarta myrtilli,Pollinator,2,19,186,1,0.3763,0.1053,0.12
M_PL_047,M,PlantPollinator,93,Calluna vulgaris,Plant,70,Andrena fuscipes,Pollinator,1,19,186,1,0.3763,0.0526,0.12
M_PL_047,M,PlantPollinator,16,Calluna vulgaris,Plant,70,Apis mellifera,Pollinator,13,19,186,1,0.3763,0.6842,0.12
M_PL_047,M,PlantPollinator,94,Calluna vulgaris,Plant,70,Autographa bractea,Pollinator,1,19,186,1,0.3763,0.0526,0.12
M_PL_048,M,PlantPollinator,93,Calluna vulgaris,Plant,73,Andrena fuscipes,Pollinator,1,30,236,1,0.3093,0.0333,0.095
M_PL_048,M,PlantPollinator,16,Calluna vulgaris,Plant,73,Apis mellifera,Pollinator,16,30,236,1,0.3093,0.5333,0.095
M_PL_049,M,PlantPollinator,20,Angelica sylvestris,Plant,80,Aphantopus hyperantus,Pollinator,18,37,225,1,0.3556,0.4865,0.071
M_PL_049,M,PlantPollinator,95,Angelica sylvestris,Plant,80,Apis mellifera,Pollinator,5,37,225,1,0.3556,0.1351,0.071
M_PL_049,M,PlantPollinator,96,Angelica sylvestris,Plant,80,Bombus lucorum,Pollinator,9,37,225,1,0.3556,0.2432,0.071
M_PL_049,M,PlantPollinator,23,Angelica sylvestris,Plant,80,Chrysogaster solstitialis,Pollinator,4,37,225,1,0.3556,0.1081,0.071
M_PL_049,M,PlantPollinator,97,Angelica sylvestris,Plant,80,Episyrphus balteatus,Pollinator,24,37,225,1,0.3556,0.6486,0.071
M_PL_049,M,PlantPollinator,98,Angelica sylvestris,Plant,80,Eristalis pertinax,Pollinator,2,37,225,1,0.3556,0.0541,0.071
M_PL_049,M,PlantPollinator,99,Angelica sylvestris,Plant,80,Melanostoma scalare,Pollinator,7,37,225,1,0.3556,0.1892,0.071
M_PL_049,M,PlantPollinator,100,Angelica sylvestris,Plant,80,Sphaerophoria scripta,Pollinator,4,37,225,1,0.3556,0.1081,0.071
M_PL_049,M,PlantPollinator,17,Angelica sylvestris,Plant,80,Syritta pipiens,Pollinator,2,37,225,1,0.3556,0.0541,0.071
M_PL_049,M,PlantPollinator,101,Angelica sylvestris,Plant,80,Syrphus ribesii,Pollinator,5,37,225,1,0.3556,0.1351,0.071
M_PL_049,M,PlantPollinator,102,Angelica sylvestris,Plant,80,Syrphus vitripennis,Pollinator,4,37,225,1,0.3556,0.1081,0.071
M_PL_051,M,PlantPollinator,103,Berberis buxifolia,Plant,4,Allograpta hortensis,Pollinator,7,14,90,1,0.0444,0.5,0.13
M_PL_051,M,PlantPollinator,104,Berberis darwinii,Plant,11,Allograpta hortensis,Pollinator,7,14,90,1,0.1222,0.5,0.13
M_PL_051,M,PlantPollinator,90,Berberis buxifolia,Plant,4,Bombus dahlbomii,Pollinator,10,14,90,1,0.0444,0.7143,0.13
M_PL_051,M,PlantPollinator,91,Berberis darwinii,Plant,11,Bombus dahlbomii,Pollinator,10,14,90,1,0.1222,0.7143,0.13
M_PL_051,M,PlantPollinator,105,Berberis darwinii,Plant,11,Syrphus octomaculatus,Pollinator,4,14,90,1,0.1222,0.2857,0.13
M_PL_053,M,PlantPollinator,106,Astilbe thunbergii,Plant,9,Baccha maculata,Pollinator,1,99,294,1,0.0306,0.0101,0.02
M_PL_053,M,PlantPollinator,107,Aster ageratoides,Plant,3,Ceratina japonica,Pollinator,15,99,294,1,0.0102,0.1515,0.02
M_PL_053,M,PlantPollinator,108,Aster ageratoides,Plant,3,Ceratina megastigmata,Pollinator,7,99,294,1,0.0102,0.0707,0.02
M_PL_053,M,PlantPollinator,109,Anaphalis margaritacea,Plant,3,Eristalis tenax,Pollinator,15,99,294,1,0.0102,0.1515,0.02
M_PL_054,M,PlantPollinator,110,Aster ageratoides,Plant,4,Eristalis cerealis,Pollinator,11,113,318,1,0.0126,0.0973,0.022
M_PL_054,M,PlantPollinator,111,Aster ageratoides,Plant,4,Oxycetonia jucunda,Pollinator,14,113,318,1,0.0126,0.1239,0.022
M_PL_054,M,PlantPollinator,112,Aster ageratoides,Plant,4,Sphaerophoria macrogaster,Pollinator,14,113,318,1,0.0126,0.1239,0.022
M_PL_055,M,PlantPollinator,113,Adenophora triphylla,Plant,5,Bombus diversus,Pollinator,5,64,195,1,0.0256,0.0781,0.035
M_PL_055,M,PlantPollinator,114,Adenophora triphylla,Plant,5,Episyrphus balteatus,Pollinator,8,64,195,1,0.0256,0.125,0.035
M_PL_055,M,PlantPollinator,115,Adenophora triphylla,Plant,5,Helophilus virgatus,Pollinator,3,64,195,1,0.0256,0.0469,0.035
M_PL_056,M,PlantPollinator,116,Astilbe thunbergii,Plant,35,Anaspis funagata,Pollinator,8,91,365,1,0.0959,0.0879,0.026
M_PL_056,M,PlantPollinator,117,Astilbe thunbergii,Plant,35,Apis mellifera,Pollinator,1,91,365,1,0.0959,0.011,0.026
M_PL_056,M,PlantPollinator,118,Angelica pubescens,Plant,31,Didea fasciata,Pollinator,6,91,365,1,0.0849,0.0659,0.026
M_PL_056,M,PlantPollinator,119,Anaphalis margaritacea,Plant,14,Eristalis cerealis,Pollinator,2,91,365,1,0.0384,0.022,0.026
M_PL_056,M,PlantPollinator,109,Anaphalis margaritacea,Plant,14,Eristalis tenax,Pollinator,21,91,365,1,0.0384,0.2308,0.026
M_PL_056,M,PlantPollinator,120,Aster ageratoides amplexifolius,Plant,5,Helophilus virgatus,Pollinator,3,91,365,1,0.0137,0.033,0.026
M_PL_056,M,PlantPollinator,121,Astilbe thunbergii,Plant,35,Hoplia moerens,Pollinator,2,91,365,1,0.0959,0.022,0.026
M_PL_056,M,PlantPollinator,122,Angelica pubescens,Plant,31,Lasioglossum apristum,Pollinator,11,91,365,1,0.0849,0.1209,0.026
M_PL_056,M,PlantPollinator,70,Astilbe thunbergii,Plant,35,Lasioglossum apristum,Pollinator,11,91,365,1,0.0959,0.1209,0.026
M_PL_056,M,PlantPollinator,123,Astilbe thunbergii,Plant,35,Lasioglossum problematicum,Pollinator,7,91,365,1,0.0959,0.0769,0.026
M_PL_056,M,PlantPollinator,124,Astilbe thunbergii,Plant,35,Leptura arcuata,Pollinator,4,91,365,1,0.0959,0.044,0.026
M_PL_056,M,PlantPollinator,125,Angelica polymorpha,Plant,18,Melanostoma scalare,Pollinator,7,91,365,1,0.0493,0.0769,0.026
M_PL_056,M,PlantPollinator,126,Angelica pubescens,Plant,31,Pachytodes cometes,Pollinator,5,91,365,1,0.0849,0.0549,0.026
M_PL_056,M,PlantPollinator,127,Aster glehni,Plant,5,Pachytodes cometes,Pollinator,5,91,365,1,0.0137,0.0549,0.026
M_PL_056,M,PlantPollinator,128,Astilbe thunbergii,Plant,35,Pachytodes cometes,Pollinator,5,91,365,1,0.0959,0.0549,0.026
M_PL_056,M,PlantPollinator,129,Aster glehni,Plant,5,Parastrangalis nymphula,Pollinator,2,91,365,1,0.0137,0.022,0.026
M_PL_056,M,PlantPollinator,130,Astilbe thunbergii,Plant,35,Pidonia puziloi,Pollinator,2,91,365,1,0.0959,0.022,0.026
M_PL_056,M,PlantPollinator,131,Astilbe thunbergii,Plant,35,Rhogogaster varipes,Pollinator,4,91,365,1,0.0959,0.044,0.026
M_PL_057,M,PlantPollinator,42,Angelica pubescens,Plant,119,Arge similis,Pollinator,1,114,883,1,0.1348,0.0088,0.019
M_PL_057,M,PlantPollinator,132,Agrimonia pilosa,Plant,12,Baccha maculata,Pollinator,9,114,883,1,0.0136,0.0789,0.019
M_PL_057,M,PlantPollinator,133,Alangium platanifolium,Plant,2,Bombus ardens,Pollinator,14,114,883,1,0.0023,0.1228,0.019
M_PL_057,M,PlantPollinator,44,Agrimonia pilosa,Plant,12,Bombus diversus diversus,Pollinator,37,114,883,1,0.0136,0.3246,0.019
M_PL_057,M,PlantPollinator,134,Angelica pubescens,Plant,119,Bombus diversus diversus,Pollinator,37,114,883,1,0.1348,0.3246,0.019
M_PL_057,M,PlantPollinator,47,Angelica polymorpha,Plant,57,Bombus hypocrita hypocrita,Pollinator,18,114,883,1,0.0646,0.1579,0.019
M_PL_057,M,PlantPollinator,135,Angelica polymorpha,Plant,57,Ceratina japonica,Pollinator,34,114,883,1,0.0646,0.2982,0.019
M_PL_057,M,PlantPollinator,136,Angelica pubescens,Plant,119,Ceratina japonica,Pollinator,34,114,883,1,0.1348,0.2982,0.019
M_PL_057,M,PlantPollinator,137,Angelica pubescens,Plant,119,Cerceris carinalis,Pollinator,2,114,883,1,0.1348,0.0175,0.019
M_PL_057,M,PlantPollinator,138,Angelica polymorpha,Plant,57,Cheilosia omogensis,Pollinator,4,114,883,1,0.0646,0.0351,0.019
M_PL_057,M,PlantPollinator,54,Angelica pubescens,Plant,119,Cheilosia omogensis,Pollinator,4,114,883,1,0.1348,0.0351,0.019
M_PL_057,M,PlantPollinator,139,Angelica polymorpha,Plant,57,Ectophasia sinensis,Pollinator,9,114,883,1,0.0646,0.0789,0.019
M_PL_057,M,PlantPollinator,56,Angelica pubescens,Plant,119,Ectophasia sinensis,Pollinator,9,114,883,1,0.1348,0.0789,0.019
M_PL_057,M,PlantPollinator,140,Angelica polymorpha,Plant,57,Epistotophe shibakawae,Pollinator,6,114,883,1,0.0646,0.0526,0.019
M_PL_057,M,PlantPollinator,141,Angelica pubescens,Plant,119,Epistotophe shibakawae,Pollinator,6,114,883,1,0.1348,0.0526,0.019
M_PL_057,M,PlantPollinator,142,Agrimonia pilosa,Plant,12,Episyrphus balteatus,Pollinator,30,114,883,1,0.0136,0.2632,0.019
M_PL_057,M,PlantPollinator,143,Angelica pubescens,Plant,119,Episyrphus balteatus,Pollinator,30,114,883,1,0.1348,0.2632,0.019
M_PL_057,M,PlantPollinator,144,Agrimonia pilosa,Plant,12,Eristalis cerealis,Pollinator,16,114,883,1,0.0136,0.1404,0.019
M_PL_057,M,PlantPollinator,145,Angelica pubescens,Plant,119,Eristalis cerealis,Pollinator,16,114,883,1,0.1348,0.1404,0.019
M_PL_057,M,PlantPollinator,146,Angelica pubescens,Plant,119,Eumenes rubronotatus,Pollinator,3,114,883,1,0.1348,0.0263,0.019
M_PL_057,M,PlantPollinator,147,Angelica polymorpha,Plant,57,Eurystylus coelestialium,Pollinator,10,114,883,1,0.0646,0.0877,0.019
