Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,id_pair
-0.23,0.46,-1.11,0.68,199
-0.13,0.47,-1.07,0.79,200
-0.02,0.45,-0.9,0.89,201
0.14,0.48,-0.81,1.1,202
0.1,0.47,-0.8,1,203
-0.33,0.46,-1.28,0.57,204
0.2,0.46,-0.69,1.13,205
-0.03,0.46,-0.92,0.9,206
0.03,0.49,-0.9,0.99,207
0.1,0.47,-0.79,1,208
0.04,0.47,-0.89,0.97,209
0.06,0.48,-0.87,1,210
0.06,0.48,-0.87,1,211
0.05,0.46,-0.85,0.97,212
0.14,0.47,-0.78,1.05,213
0.13,0.48,-0.81,1.11,214
0.05,0.48,-0.91,0.99,215
-0.16,0.48,-1.11,0.77,216
0.04,0.49,-0.93,1.03,217
-0.11,0.46,-1.03,0.79,218
0.14,0.48,-0.79,1.09,219
0.1,0.47,-0.81,1.05,220
-0.15,0.47,-1.07,0.75,221
0.16,0.47,-0.74,1.08,222
-0.1,0.47,-1.01,0.82,223
0.09,0.46,-0.81,1.02,224
0.12,0.47,-0.75,1.04,225
0.04,0.45,-0.85,0.96,226
-0,0.46,-0.88,0.91,227
0.03,0.46,-0.87,0.91,228
-0.01,0.45,-0.87,0.85,229
-0.05,0.48,-0.98,0.88,230
0.03,0.47,-0.91,0.93,231
-0.01,0.46,-0.93,0.88,232
0.17,0.47,-0.71,1.11,233
0.01,0.48,-0.94,0.96,234
0.05,0.47,-0.85,0.94,235
-0.01,0.46,-0.9,0.91,236
0.05,0.47,-0.85,0.98,237
0.02,0.47,-0.9,0.95,238
0.03,0.46,-0.87,0.96,239
0.02,0.46,-0.89,0.91,240
-0.02,0.45,-0.92,0.87,241
0.03,0.45,-0.83,0.9,242
0.02,0.48,-0.93,0.96,243
0.02,0.49,-0.9,0.97,244
0.02,0.47,-0.89,0.93,245
0.02,0.49,-0.93,0.95,246
0.03,0.48,-0.91,0.95,247
0.03,0.49,-0.94,1,248
0.03,0.48,-0.95,0.96,249
0.03,0.5,-0.97,1.02,250
0.02,0.5,-0.96,1,251
0.01,0.48,-0.92,0.94,252
0,0.48,-0.95,0.92,253
0.03,0.48,-0.9,1.01,254
0.03,0.48,-0.9,0.97,255
0.02,0.48,-0.9,0.98,256
0.04,0.48,-0.91,1.02,257
0.14,0.47,-0.77,1.08,258
0.11,0.47,-0.8,1.03,259
0.04,0.48,-0.91,0.98,260
0.19,0.48,-0.74,1.16,261
0.04,0.48,-0.91,0.98,262
0.04,0.47,-0.87,0.99,263
-0.18,0.47,-1.11,0.75,264
0.06,0.47,-0.88,0.96,265
-0.09,0.48,-1.03,0.83,266
0.11,0.47,-0.81,1.07,267
-0.12,0.47,-1.06,0.81,268
-0.13,0.47,-1.04,0.8,269
0.09,0.49,-0.88,1.05,270
-0.11,0.46,-1.01,0.77,271
0.05,0.47,-0.87,0.98,272
-0.12,0.47,-1.03,0.8,273
-0.15,0.48,-1.13,0.79,274
0.11,0.46,-0.78,1.03,275
0.07,0.47,-0.83,1,276
0.08,0.47,-0.85,1.02,277
0.05,0.48,-0.84,0.99,278
0.1,0.46,-0.8,1.05,279
0.09,0.47,-0.83,1.06,280
0.02,0.46,-0.87,0.92,281
-0.04,0.45,-0.96,0.84,282
-0,0.45,-0.88,0.89,283
-0.08,0.48,-1.04,0.85,284
-0.19,0.45,-1.08,0.68,285
0.01,0.47,-0.9,0.92,286
-0.06,0.45,-0.96,0.85,287
-0.04,0.46,-0.93,0.87,288
-0.11,0.46,-1.01,0.82,289
-0.02,0.47,-0.94,0.9,290
-0.06,0.48,-0.99,0.87,291
-0.06,0.47,-0.98,0.85,292
-0.02,0.46,-0.91,0.87,293
0.03,0.46,-0.88,0.92,294
0,0.47,-0.9,0.9,295
-0.05,0.46,-0.97,0.85,296
0.12,0.47,-0.81,1.03,297
-0.03,0.46,-0.94,0.84,298
-0.03,0.46,-0.93,0.85,299
-0.02,0.47,-0.94,0.9,300
-0.04,0.46,-0.96,0.86,301
-0.08,0.48,-1.03,0.86,302
-0.05,0.46,-0.98,0.87,303
0.33,0.46,-0.56,1.24,304
-0.09,0.46,-1.01,0.81,305
0.15,0.46,-0.75,1.08,306
0.18,0.47,-0.77,1.14,307
0.07,0.49,-0.9,1.06,308
-0.14,0.47,-1.08,0.8,309
-0.02,0.47,-0.96,0.89,310
0.02,0.46,-0.9,0.93,311
-0.11,0.47,-1.07,0.81,312
0.12,0.47,-0.79,1.05,313
-0.06,0.45,-0.95,0.84,314
-0.01,0.46,-0.9,0.9,315
-0.13,0.47,-1.03,0.77,316
-0.03,0.46,-0.95,0.86,317
-0.05,0.47,-0.99,0.88,318
-0.23,0.48,-1.2,0.7,319
-0.1,0.46,-1.01,0.76,320
-0.27,0.47,-1.21,0.6,321
-0.24,0.46,-1.15,0.67,322
-0.15,0.47,-1.08,0.76,323
-0.09,0.47,-1,0.79,324
-0.06,0.46,-0.94,0.85,325
-0.16,0.46,-1.06,0.73,326
-0.2,0.46,-1.11,0.69,327
0.1,0.47,-0.79,1.02,328
0.07,0.48,-0.85,1.01,329
0.15,0.46,-0.76,1.08,330
-0.41,0.45,-1.29,0.47,331
0.01,0.49,-0.95,0.95,332
0.13,0.48,-0.81,1.07,333
0.12,0.47,-0.82,1.06,334
0.09,0.48,-0.86,1.02,335
-0.08,0.47,-1.04,0.85,336
0.26,0.45,-0.62,1.19,337
0.17,0.45,-0.72,1.05,338
0.06,0.47,-0.85,0.97,339
0.06,0.49,-0.88,1.04,340
0.05,0.47,-0.89,0.99,341
0.15,0.46,-0.73,1.06,342
-0.11,0.47,-1.04,0.82,343
-0.17,0.47,-1.1,0.74,344
-0.09,0.48,-1.02,0.84,345
0.1,0.48,-0.81,1.04,346
0.11,0.48,-0.8,1.06,347
-0.08,0.47,-1.01,0.86,348
-0.09,0.47,-1.02,0.86,349
-0.11,0.46,-1.01,0.75,350
0.11,0.44,-0.77,1.01,351
0.22,0.46,-0.67,1.11,352
0.22,0.47,-0.68,1.12,353
0.02,0.47,-0.89,0.94,354
0.02,0.46,-0.91,0.92,355
0.15,0.47,-0.76,1.09,356
0.05,0.46,-0.86,0.96,357
0.03,0.48,-0.93,0.99,358
-0.07,0.46,-0.99,0.84,359
-0.03,0.45,-0.92,0.83,360
-0.02,0.46,-0.92,0.9,361
0.11,0.48,-0.81,1.1,362
0.02,0.46,-0.88,0.89,363
0.14,0.46,-0.75,1.04,364
-0.07,0.45,-0.97,0.84,365
0.02,0.46,-0.88,0.94,366
-0.05,0.44,-0.94,0.82,367
0.13,0.45,-0.73,1.01,368
0.01,0.47,-0.92,0.9,369
0.16,0.46,-0.73,1.09,370
0.06,0.46,-0.83,0.96,371
-0.03,0.46,-0.94,0.87,372
0.04,0.47,-0.9,0.95,373
0.01,0.46,-0.89,0.91,374
0.29,0.46,-0.59,1.21,375
0.12,0.47,-0.78,1.04,376
-0.06,0.49,-1.03,0.87,377
-0.04,0.47,-0.98,0.91,378
0,0.49,-0.98,0.96,379
-0.22,0.5,-1.19,0.75,380
0.09,0.46,-0.84,1.03,381
-0.04,0.47,-1,0.89,382
0.02,0.48,-0.92,0.97,383
-0.01,0.48,-0.96,0.94,384
0.01,0.47,-0.89,0.95,385
0,0.49,-0.97,0.98,386
0.01,0.48,-0.92,0.97,387
0.02,0.49,-0.94,0.97,388
0.03,0.49,-0.94,1.01,389
-0.06,0.45,-0.95,0.84,390
-0.07,0.46,-0.98,0.82,391
-0.2,0.47,-1.12,0.73,392
-0.04,0.47,-0.98,0.89,393
-0.04,0.48,-0.99,0.9,394
-0.09,0.47,-0.99,0.84,395
0.08,0.47,-0.83,1.02,396
0.18,0.47,-0.71,1.09,397
-0.1,0.47,-1.01,0.81,398
0.03,0.48,-0.92,1.02,399
0.11,0.45,-0.77,1,400
-0.16,0.47,-1.08,0.76,401
0.06,0.46,-0.82,0.97,402
0.03,0.48,-0.9,0.99,403
0.12,0.47,-0.84,1.06,404
0.08,0.47,-0.85,0.99,405
0.09,0.48,-0.84,1.05,406
0.03,0.48,-0.91,0.97,407
-0.17,0.48,-1.09,0.76,408
0.11,0.46,-0.78,1.03,409
0.09,0.47,-0.82,1.04,410
0.04,0.5,-0.94,0.99,411
-0.05,0.47,-1,0.85,412
0.04,0.49,-0.92,1.01,413
0.1,0.47,-0.84,1.04,414
0.05,0.47,-0.89,0.97,415
-0.13,0.47,-1.06,0.8,416
-0.22,0.49,-1.2,0.74,417
0.06,0.47,-0.87,0.99,418
-0.09,0.47,-1,0.83,419
-0.12,0.49,-1.06,0.82,420
-0.18,0.48,-1.1,0.77,421
-0.01,0.48,-0.95,0.92,422
-0.19,0.51,-1.22,0.79,423
0.1,0.46,-0.83,0.97,424
-0,0.47,-0.9,0.92,425
-0.13,0.47,-1.03,0.8,426
-0.09,0.47,-1,0.81,427
-0.05,0.47,-0.97,0.85,428
0.08,0.48,-0.88,1.04,429
-0.07,0.46,-0.97,0.82,430
-0.09,0.44,-0.97,0.78,431
-0.04,0.47,-0.97,0.9,432
0.27,0.46,-0.64,1.22,433
-0.03,0.47,-0.94,0.89,434
-0.14,0.49,-1.12,0.81,435
0.06,0.46,-0.85,0.96,436
0.05,0.48,-0.88,0.99,437
0.19,0.47,-0.74,1.1,438
-0.12,0.46,-1.04,0.79,439
-0,0.46,-0.89,0.91,440
-0.1,0.44,-0.98,0.75,441
0.03,0.48,-0.92,0.99,442
0.04,0.46,-0.9,0.94,443
-0.18,0.48,-1.12,0.76,444
0.11,0.48,-0.8,1.04,445
0.12,0.47,-0.78,1.04,446
0.09,0.47,-0.8,1.01,447
-0.05,0.46,-0.95,0.83,448
0.04,0.46,-0.89,0.93,449
-0.09,0.46,-0.99,0.81,450
0.19,0.46,-0.69,1.06,451
-0.05,0.48,-1.02,0.91,452
0.13,0.48,-0.83,1.12,453
-0.08,0.48,-1.06,0.87,454
0,0.49,-0.98,0.95,455
-0.09,0.48,-1.02,0.88,456
0.19,0.46,-0.74,1.08,457
0.05,0.47,-0.86,0.98,458
-0.34,0.48,-1.31,0.56,459
-0.19,0.45,-1.07,0.69,460
-0.14,0.47,-1.05,0.79,461
0.06,0.49,-0.9,1.01,462
0.06,0.48,-0.87,1.02,463
-0.09,0.47,-0.99,0.84,464
0.16,0.48,-0.75,1.11,465
0.05,0.49,-0.9,1.01,466
-0.13,0.45,-1.02,0.72,467
0.1,0.47,-0.83,1,468
-0.02,0.46,-0.91,0.9,469
0.13,0.47,-0.77,1.06,470
0.12,0.47,-0.83,1.03,471
0.19,0.46,-0.7,1.1,472
0.14,0.47,-0.74,1.06,473
0.15,0.47,-0.74,1.06,474
0.07,0.5,-0.89,1.06,475
0.16,0.46,-0.77,1.06,476
0.1,0.48,-0.84,1.08,477
-0.02,0.48,-0.95,0.91,478
-0.03,0.47,-0.95,0.94,479
-0.05,0.48,-0.98,0.89,480
-0.08,0.48,-1,0.83,481
-0.07,0.49,-1.04,0.9,482
-0.02,0.47,-0.96,0.9,483
-0.03,0.48,-0.98,0.9,484
-0.07,0.48,-1,0.85,485
-0.07,0.49,-1.04,0.92,486
0.06,0.48,-0.87,0.98,487
-0.01,0.46,-0.88,0.86,488
-0,0.47,-0.91,0.91,489
-0.03,0.46,-0.92,0.86,490
-0.05,0.47,-0.97,0.9,491
0.01,0.48,-0.93,0.96,492
0.17,0.48,-0.78,1.12,493
-0.1,0.48,-1.03,0.82,494
-0.01,0.47,-0.94,0.9,495
-0.01,0.46,-0.91,0.91,496
-0.13,0.46,-1.05,0.79,497
-0.06,0.47,-1.01,0.86,498
-0.06,0.47,-0.97,0.84,499
0.01,0.46,-0.91,0.91,500
-0.03,0.46,-0.93,0.87,501
-0.01,0.47,-0.91,0.95,502
-0.02,0.46,-0.89,0.86,503
0,0.47,-0.91,0.9,504
-0,0.46,-0.9,0.93,505
-0.01,0.46,-0.91,0.88,506
0.15,0.47,-0.75,1.07,507
-0.03,0.46,-0.93,0.86,508
0,0.48,-0.94,0.94,509
0.01,0.46,-0.92,0.91,510
-0.02,0.46,-0.92,0.88,511
-0.01,0.46,-0.91,0.9,512
-0.02,0.5,-1,0.95,513
-0.16,0.47,-1.07,0.76,514
-0.1,0.48,-1.09,0.83,515
-0.12,0.47,-1.06,0.79,516
-0.29,0.46,-1.21,0.61,517
-0.09,0.45,-0.98,0.78,518
-0.04,0.45,-0.91,0.86,519
-0.04,0.44,-0.89,0.83,520
0,0.48,-0.94,0.95,521
0.01,0.46,-0.88,0.93,522
-0.03,0.45,-0.93,0.85,523
-0.06,0.46,-1,0.86,524
-0.09,0.45,-1.01,0.82,525
-0.2,0.45,-1.11,0.66,526
-0.02,0.46,-0.9,0.87,527
-0.08,0.46,-0.99,0.83,528
0.03,0.48,-0.94,0.98,529
-0.18,0.44,-1.08,0.67,530
0.12,0.45,-0.76,1,531
0.05,0.48,-0.88,0.99,532
0.23,0.46,-0.68,1.15,533
0.13,0.47,-0.78,1.04,534
-0.17,0.46,-1.09,0.73,535
0.11,0.46,-0.82,1,536
-0.15,0.45,-1.05,0.7,537
0.07,0.45,-0.81,0.95,538
-0.07,0.46,-0.97,0.85,539
0.02,0.47,-0.91,0.93,540
0.02,0.45,-0.9,0.91,541
-0.08,0.44,-0.95,0.79,542
0.06,0.48,-0.89,1.03,543
0.01,0.45,-0.89,0.87,544
0.16,0.46,-0.73,1.07,545
0.07,0.47,-0.81,1,546
-0,0.47,-0.91,0.92,547
-0.01,0.45,-0.89,0.89,548
0.02,0.46,-0.85,0.91,549
0.01,0.46,-0.85,0.92,550
0.03,0.47,-0.89,0.99,551
-0.14,0.47,-1.09,0.8,552
-0.13,0.47,-1.08,0.78,553
0,0.46,-0.87,0.91,554
0.01,0.45,-0.91,0.93,555
-0,0.45,-0.89,0.87,556
-0.21,0.46,-1.14,0.68,557
-0.06,0.46,-0.97,0.86,558
-0,0.46,-0.87,0.89,559
-0.03,0.47,-0.98,0.91,560
-0.18,0.46,-1.07,0.69,561
-0.05,0.45,-0.94,0.84,562
-0.01,0.46,-0.9,0.91,563
-0.01,0.47,-0.92,0.9,564
0,0.47,-0.92,0.93,565
0.02,0.46,-0.87,0.91,566
-0.02,0.48,-0.93,0.9,567
-0.21,0.45,-1.1,0.63,568
-0.03,0.45,-0.92,0.87,569
-0.16,0.44,-1.06,0.69,570
-0.09,0.46,-0.98,0.79,571
-0.01,0.46,-0.92,0.89,572
-0.02,0.48,-0.95,0.91,573
-0.19,0.44,-1.07,0.66,574
-0.02,0.46,-0.94,0.9,575
0.03,0.46,-0.89,0.93,576
0.02,0.47,-0.9,0.94,577
0.02,0.47,-0.89,0.9,578
0.01,0.45,-0.88,0.89,579
-0.06,0.47,-1,0.88,580
-0,0.45,-0.87,0.9,581
0.03,0.45,-0.86,0.91,582
-0.02,0.46,-0.94,0.86,583
0,0.48,-0.88,0.94,584
-0.14,0.46,-1.05,0.78,585
0.03,0.46,-0.88,0.92,586
0.03,0.47,-0.88,0.96,587
-0.09,0.45,-0.98,0.79,588
-0,0.46,-0.9,0.91,589
-0.08,0.47,-1.02,0.86,590
-0.05,0.47,-0.95,0.84,591
0.06,0.47,-0.85,0.97,592
0.04,0.46,-0.84,0.96,593
-0.13,0.45,-0.96,0.74,594
-0.52,0.46,-1.44,0.34,595
-0.03,0.48,-0.99,0.88,596
0.04,0.48,-0.88,0.99,597
0.07,0.46,-0.82,0.96,598
-0.31,0.45,-1.22,0.56,599
0.22,0.46,-0.67,1.16,600
-0.03,0.47,-0.93,0.88,601
-0.1,0.49,-1.04,0.9,602
-0.03,0.46,-0.96,0.88,603
-0.03,0.46,-0.89,0.84,604
-0.04,0.43,-0.9,0.8,605
0.07,0.46,-0.83,0.95,606
-0.01,0.47,-0.93,0.93,607
-0.1,0.49,-1.05,0.88,608
-0.06,0.46,-0.99,0.85,609
0.19,0.47,-0.72,1.1,610
-0.11,0.46,-1.03,0.79,611
0.03,0.45,-0.88,0.91,612
0.24,0.47,-0.68,1.18,613
0.04,0.48,-0.89,0.98,614
0.04,0.48,-0.9,0.99,615
0.03,0.48,-0.92,0.99,616
0.03,0.48,-0.9,0.98,617
-0.18,0.46,-1.08,0.73,618
-0.23,0.47,-1.15,0.67,619
-0.07,0.48,-1.03,0.88,620
-0.1,0.46,-1.01,0.79,621
-0.08,0.48,-1.02,0.88,622
-0.16,0.49,-1.14,0.77,623
-0,0.48,-0.97,0.99,624
-0.01,0.49,-0.98,0.98,625
0.15,0.48,-0.8,1.12,626
0.24,0.45,-0.62,1.12,627
0.06,0.49,-0.9,1.07,628
-0.19,0.47,-1.12,0.73,629
0.13,0.47,-0.77,1.05,630
0.14,0.47,-0.8,1.07,631
-0.04,0.46,-0.9,0.85,632
0.07,0.48,-0.85,1.01,633
0.05,0.47,-0.86,0.97,634
-0.01,0.46,-0.91,0.86,635
0,0.47,-0.9,0.93,636
0.21,0.47,-0.69,1.14,637
0.1,0.47,-0.8,1.03,638
0.06,0.47,-0.86,0.98,639
-0.17,0.47,-1.08,0.76,640
0.1,0.47,-0.82,1.07,641
-0.05,0.47,-1,0.91,642
-0.05,0.48,-1.03,0.91,643
-0.04,0.45,-0.96,0.84,644
0.01,0.47,-0.92,0.99,645
0.16,0.47,-0.75,1.11,646
0.28,0.47,-0.61,1.22,647
0.1,0.48,-0.83,1.06,648
0.24,0.48,-0.67,1.16,649
-0.07,0.47,-0.97,0.85,650
-0.04,0.47,-0.98,0.87,651
-0.14,0.47,-1.07,0.75,652
-0.13,0.47,-1.03,0.78,653
0.26,0.46,-0.65,1.18,654
0.02,0.46,-0.85,0.93,655
0.14,0.48,-0.8,1.09,656
-0.07,0.47,-0.98,0.86,657
-0.14,0.47,-1.04,0.77,658
-0.12,0.48,-1.08,0.82,659
0.26,0.49,-0.68,1.24,660
-0.12,0.48,-1.06,0.8,661
-0.1,0.47,-1.01,0.81,662
0,0.46,-0.9,0.89,663
-0.1,0.46,-1.01,0.82,664
-0.1,0.46,-1,0.81,665
0.18,0.46,-0.73,1.09,666
-0.16,0.49,-1.12,0.78,667
-0.17,0.47,-1.13,0.72,668
0.08,0.46,-0.8,0.99,669
-0.03,0.48,-0.98,0.89,670
-0.03,0.48,-0.97,0.89,671
0.11,0.46,-0.8,1.03,672
0,0.47,-0.92,0.94,673
-0.09,0.47,-1.02,0.85,674
-0.08,0.46,-1.02,0.81,675
-0.11,0.47,-1.06,0.81,676
-0.13,0.47,-1.06,0.8,677
0.11,0.47,-0.8,1.04,678
0.08,0.46,-0.82,0.98,679
-0.08,0.47,-1,0.8,680
-0,0.47,-0.9,0.94,681
0.01,0.46,-0.89,0.92,682
-0.08,0.46,-0.98,0.84,683
0.09,0.47,-0.81,1.03,684
0.03,0.46,-0.85,0.93,685
0.02,0.48,-0.95,0.99,686
0.04,0.46,-0.85,0.95,687
-0.01,0.47,-0.93,0.88,688
0.05,0.46,-0.88,0.93,689
-0.07,0.47,-0.98,0.85,690
-0.07,0.47,-1,0.85,691
-0.02,0.46,-0.93,0.9,692
-0.02,0.47,-0.95,0.86,693
0.09,0.47,-0.85,1.04,694
0.06,0.47,-0.87,0.96,695
0.01,0.48,-0.96,0.96,696
-0.08,0.49,-1.05,0.91,697
-0.12,0.48,-1.07,0.82,698
0.09,0.47,-0.8,1.05,699
0.02,0.48,-0.9,0.95,700
0.01,0.49,-0.96,0.94,701
-0.13,0.48,-1.07,0.79,702
-0.1,0.48,-1.05,0.81,703
0.01,0.48,-0.92,0.92,704
-0.13,0.47,-1.06,0.8,705
0.01,0.48,-0.94,0.96,706
-0,0.46,-0.89,0.87,707
-0.01,0.47,-0.94,0.9,708
-0.12,0.48,-1.08,0.83,709
-0.02,0.49,-1,0.94,710
-0.02,0.45,-0.9,0.83,711
-0,0.47,-0.93,0.92,712
0.03,0.47,-0.9,0.94,713
0.02,0.46,-0.9,0.92,714
0.01,0.48,-0.94,0.96,715
0.04,0.47,-0.88,0.96,716
0.03,0.46,-0.85,0.91,717
0,0.48,-0.92,0.93,718
0.01,0.48,-0.91,0.99,719
-0.02,0.46,-0.92,0.9,720
