Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,species_2
-0.04,0.23,-0.51,0.4,Bombus ruderatus
0.05,0.23,-0.4,0.53,Bombus soroeensis
-0.19,0.21,-0.64,0.21,Bombus terrestris
-0.06,0.22,-0.52,0.38,Bombus terrestris/lucorum
0.01,0.22,-0.42,0.46,Bombylius atriceps
0.01,0.22,-0.44,0.45,Bombylius major
0.04,0.22,-0.4,0.5,Boreellus atriceps
-0,0.22,-0.46,0.44,Bruchidius urbanus
-0.01,0.22,-0.46,0.44,Byctiscus puberulus
0.04,0.21,-0.36,0.47,Byturus aestivus
0.01,0.22,-0.43,0.45,Byturus affinis
0.07,0.22,-0.36,0.53,Calameuta pallipes
0,0.22,-0.44,0.43,Calliphora icela
0,0.22,-0.44,0.44,Calliphora quadrimaculata
-0,0.23,-0.46,0.47,Calliphora quadrimaculata_1
0,0.23,-0.46,0.48,Calliphora stygia
0.1,0.23,-0.36,0.57,Callophrys rubi
-0.01,0.2,-0.4,0.38,Callopsylla caspia
0,0.22,-0.45,0.44,Camponotus obscripes
-0.01,0.22,-0.45,0.41,Camponotus rufoglaucus
0,0.22,-0.44,0.43,Campsomeris primatica
0.02,0.22,-0.41,0.46,Carbula humerigera
0.04,0.22,-0.39,0.48,Carpophilus chalybeus
0.03,0.22,-0.4,0.49,Carposcalis carinata
-0.02,0.2,-0.42,0.36,Catallagia dacenkoi
0.01,0.21,-0.4,0.41,Catallagia ioffi
0.02,0.23,-0.46,0.47,Catallagia striata
0,0.23,-0.45,0.45,Catharus ustulatus
0.02,0.22,-0.42,0.47,Centris cineraria
-0.01,0.23,-0.46,0.45,Centris nigerrima
0.01,0.22,-0.44,0.46,Cephenius nitobei
-0.04,0.22,-0.5,0.4,Ceratina cucurbitina
0.06,0.21,-0.35,0.49,Ceratina esakii
-0,0.2,-0.38,0.38,Ceratina flavipes
0.01,0.22,-0.44,0.45,Ceratina iwatai
-0.24,0.19,-0.63,0.11,Ceratina japonica
-0.09,0.2,-0.49,0.3,Ceratina megastigmata
0.02,0.22,-0.42,0.46,Ceratophyllus anisus
0.09,0.19,-0.28,0.49,Ceratophyllus indages
0.22,0.21,-0.14,0.66,Ceratophyllus sciurorum
-0.03,0.22,-0.48,0.4,Cerceris arenaria
0.01,0.22,-0.42,0.44,Cerceris carinalis
0.05,0.21,-0.37,0.47,Cerceris hortivaga
0.08,0.22,-0.34,0.54,Ceuthorrhynchus assimilis
0.03,0.23,-0.41,0.49,Ceutorrhynchus rugulosus
0.01,0.22,-0.42,0.44,Chalicodoma sculpturalis
0.03,0.22,-0.4,0.49,Cheilosia albitarsis
0.01,0.23,-0.44,0.46,Cheilosia fulvipes
0.05,0.22,-0.38,0.5,Cheilosia impressa
0.04,0.22,-0.38,0.49,Cheilosia omogensis
-0.01,0.23,-0.47,0.44,Cheilosia pagana
0.03,0.23,-0.41,0.48,Cheilosia velutina
0,0.22,-0.44,0.44,Chelaner antarcticus
0.01,0.23,-0.44,0.47,Chilosia petulca
-0.03,0.22,-0.49,0.4,Chiroxiphia caudata
-0,0.23,-0.46,0.44,Chloroclysta siterata
-0,0.22,-0.44,0.43,Chloroclystis chloerata
0.01,0.22,-0.43,0.45,Chloroclystis rectangulata
0,0.22,-0.43,0.43,Choaspes benjaminii
0.03,0.23,-0.41,0.49,Chrysogaster cemiteriorum
0.03,0.22,-0.41,0.47,Chrysogaster solstitialis
0.03,0.22,-0.41,0.46,Chrysomela collaris
0.02,0.22,-0.42,0.46,Chrysomela fastuosa
0.01,0.22,-0.43,0.45,Chrysotoxum bicinctum
-0,0.21,-0.42,0.41,Citellophilus lebedewi
-0.22,0.19,-0.62,0.12,Citellophilus tesquorum
0,0.23,-0.45,0.44,Citellophilus transcaucasicus
-0.05,0.21,-0.47,0.36,Citellophilus trispinus
0.03,0.23,-0.42,0.49,Citellophilus ullus
-0,0.21,-0.43,0.41,Clisodon terminalis
-0.01,0.22,-0.43,0.45,Clossiana chariclea
-0.04,0.22,-0.49,0.39,Clytolaema rubricauda
0.02,0.23,-0.43,0.48,Clytus arietis
0.08,0.23,-0.35,0.54,Coccinella septempunctata
0.03,0.23,-0.42,0.5,Coccothraustes coccothraustes
-0.02,0.22,-0.46,0.42,Coenosia femoralis
0.11,0.23,-0.32,0.59,Coenosia means
0.01,0.22,-0.44,0.45,Coenosia tigrina
-0.03,0.21,-0.44,0.41,Coereba flaveola
-0.05,0.22,-0.47,0.36,Colias hecla
0.01,0.23,-0.43,0.47,Colletes americanus
-0.03,0.22,-0.49,0.42,Colletes cunicularius
0.03,0.23,-0.42,0.5,Colletes fulvipes
0.03,0.23,-0.42,0.5,Colletes succinctus
-0.01,0.22,-0.46,0.42,Colocasia coryli
0,0.23,-0.44,0.45,Colotois pennaria
0.01,0.22,-0.43,0.43,Columba palumbus
0.01,0.22,-0.42,0.45,Columba squamosa
-0,0.22,-0.44,0.43,Conops flavipes
-0.02,0.2,-0.43,0.37,Coptopsylla lamellifer
-0.24,0.18,-0.6,0.08,Corrodopsylla birulai
0.04,0.23,-0.41,0.51,Corticarina gibbosa
0.01,0.23,-0.47,0.48,Corvus corax
0.03,0.21,-0.4,0.47,Corvus corone
0.04,0.22,-0.4,0.47,Corymbas nipponica
0.02,0.23,-0.43,0.47,Corynoneura scutellata
-0.01,0.21,-0.43,0.41,Crambus pratella
0,0.23,-0.44,0.46,Criorhina japonica
0,0.22,-0.44,0.43,Crocallis elinguaria
0.02,0.22,-0.42,0.47,Crymodes exulis
0.01,0.23,-0.43,0.48,Ctenophthalmus acuminatus
0.02,0.19,-0.36,0.41,Ctenophthalmus agyrtes
0.09,0.19,-0.27,0.48,Ctenophthalmus arvalis
-0.17,0.17,-0.52,0.14,Ctenophthalmus assimilis
0.02,0.2,-0.38,0.41,Ctenophthalmus bisoctodentatus
0.08,0.22,-0.35,0.52,Ctenophthalmus bogatschevi
-0.12,0.2,-0.55,0.25,Ctenophthalmus breviatus
-0.06,0.21,-0.5,0.36,Ctenophthalmus congeneroides
0,0.23,-0.45,0.46,Ctenophthalmus dilatatus
-0.12,0.21,-0.56,0.28,Ctenophthalmus dolichus
0.07,0.22,-0.36,0.53,Ctenophthalmus golovi
-0.01,0.22,-0.44,0.44,Ctenophthalmus obtusus
0.04,0.22,-0.38,0.49,Ctenophthalmus orientalis
0.05,0.21,-0.36,0.47,Ctenophthalmus pisticus
0.01,0.21,-0.43,0.43,Ctenophthalmus proximus
0.1,0.23,-0.33,0.58,Ctenophthalmus secundus
-0.01,0.21,-0.44,0.41,Ctenophthalmus solutus
-0.13,0.19,-0.51,0.22,Ctenophthalmus uncinatus
0.01,0.22,-0.45,0.45,Ctenophthalmus wagneri
0.03,0.22,-0.41,0.47,Ctenophyllus armatus
-0.02,0.22,-0.46,0.43,Ctenophyllus hirticrus
0.04,0.22,-0.4,0.49,Cyclarhis gujanensis
-0.02,0.22,-0.46,0.42,Cyclyrius webbianus
0.03,0.22,-0.39,0.47,Cynomya mortuorum
0.02,0.21,-0.41,0.45,Dacnis cayana
0.01,0.23,-0.45,0.46,Dasychira fascelina
0,0.22,-0.44,0.44,Dasytes plumbeus
0,0.23,-0.46,0.47,Dasytes subcyaneus
-0.02,0.21,-0.45,0.4,Dasytes vulgaris
0,0.23,-0.45,0.45,Declana junctilinea
0.04,0.23,-0.41,0.5,Demonax transilis
-0,0.23,-0.46,0.46,Dendrocopos major
-0.02,0.22,-0.46,0.42,Dere thoracica
0.1,0.22,-0.32,0.55,Desertopsylla rothschildi
-0.06,0.21,-0.48,0.35,Didea fasciata
-0.06,0.22,-0.52,0.39,Diloba caeruleocephala
0,0.22,-0.43,0.44,Dilophus febrilis
0.02,0.21,-0.4,0.46,Dinoptera minuta ticollis
0.03,0.22,-0.41,0.49,Dolichopus dasyops
0.08,0.22,-0.34,0.55,Dolichovespula saxonica
0.01,0.19,-0.35,0.39,Doratopsylla dasycnema
0.03,0.22,-0.4,0.48,Drymeia groenlandica
-0.05,0.2,-0.46,0.35,Echidnophaga oschanini
0,0.22,-0.44,0.44,Ectemnius radiatus
-0.01,0.21,-0.45,0.41,Ectinohoplia obducta
0.03,0.21,-0.38,0.43,Ectophasia sinensis
0.03,0.22,-0.4,0.48,Elaenia flavogaster
-0,0.23,-0.47,0.48,Elasmucha nipponica
0.01,0.23,-0.45,0.47,Electrophaes corylata
0.01,0.23,-0.45,0.46,Emberiza cia
-0.01,0.23,-0.47,0.45,Empidonomus varius
0.03,0.22,-0.42,0.46,Empis aestiva
0.04,0.23,-0.42,0.5,Empis livida
0.05,0.23,-0.39,0.53,Empis tessellata
0.03,0.23,-0.41,0.51,Enicmus transversus
0.07,0.23,-0.37,0.55,Eoseristalis abusivus
0,0.22,-0.46,0.44,Eoseristalis arbustorum
0.03,0.23,-0.42,0.51,Eoseristalis horticola
0,0.23,-0.45,0.46,Epirrita christyi
0.08,0.21,-0.33,0.52,Epistotophe shibakawae
-0.36,0.18,-0.73,-0.02,Episyrphus balteatus
0.03,0.23,-0.4,0.5,Epuraea depressa Illiger
0.03,0.23,-0.4,0.51,Erannis defoliaria
0.01,0.22,-0.44,0.45,Eriogaster lanestris
-0,0.23,-0.46,0.46,Eriothrix rufomaculatus
0.01,0.21,-0.4,0.43,Eristalinus sepulchralis
-0.11,0.18,-0.49,0.25,Eristalis cerealis
-0.02,0.22,-0.46,0.42,Eristalis intricaria
-0.03,0.22,-0.5,0.41,Eristalis intricarius
0,0.22,-0.42,0.44,Eristalis lineata
0.03,0.22,-0.41,0.48,Eristalis nemorum
-0.04,0.21,-0.48,0.39,Eristalis pertinax
-0,0.23,-0.45,0.46,Eristalis pratorum
-0.1,0.2,-0.52,0.28,Eristalis tenax
-0.01,0.21,-0.43,0.4,Eristalomya tenax
0.04,0.22,-0.4,0.47,Eritettix variabilis
-0.04,0.21,-0.47,0.38,Erithacus rubecula
0.02,0.22,-0.42,0.48,Ernestia rudis
0.01,0.22,-0.43,0.47,Erythronychia aliena
-0.1,0.21,-0.54,0.32,Etcheverrius chilensis
-0.1,0.23,-0.57,0.33,Eucera gracilipes
0.03,0.22,-0.41,0.46,Eucetonia pilifera
0,0.21,-0.41,0.41,Eucetonia roelofsi
0.01,0.22,-0.44,0.46,Eudonia sabulosella
0.01,0.23,-0.45,0.47,Eumenes dubius
-0.03,0.21,-0.46,0.4,Eumenes rubronotatus
0.08,0.22,-0.35,0.52,Eumerus tuberculatus
-0.13,0.21,-0.57,0.27,Eupeodes corollae
-0.01,0.22,-0.44,0.42,Eupeodes curtus
-0.02,0.22,-0.47,0.42,Eupeodes luniger
0.08,0.2,-0.32,0.5,Euphonia musica
-0,0.22,-0.44,0.43,Euphonia violacea
0,0.22,-0.44,0.43,Eupithecia exiguata
-0.01,0.23,-0.46,0.44,Eupogonomyia groenlandica
-0.03,0.23,-0.48,0.42,Eupsilia transversa
-0.01,0.22,-0.45,0.44,Eurema hecabe
-0,0.22,-0.44,0.43,Eurois occulata
0.01,0.21,-0.41,0.44,Eurystylus coelestialium
0.01,0.22,-0.45,0.46,Eusphalerum parallelum
-0.06,0.22,-0.51,0.36,Faunula leucoglene
0.02,0.23,-0.43,0.48,Ficedula hypoleuca
-0.06,0.21,-0.48,0.35,Formica fusca
-0.01,0.22,-0.43,0.42,Formica japonica
0.07,0.23,-0.36,0.54,Formica rufa
0.06,0.23,-0.37,0.53,Formica sanguinea
0.02,0.22,-0.41,0.47,Fringilla coelebs
0.03,0.22,-0.41,0.46,Frontopsylla ambigua
-0.09,0.16,-0.41,0.21,Frontopsylla elata
-0.03,0.2,-0.44,0.36,Frontopsylla elatoides
-0.03,0.21,-0.47,0.39,Frontopsylla hetera
0.02,0.21,-0.39,0.43,Frontopsylla luculenta
0.07,0.22,-0.35,0.51,Frontopsylla macrophthalma
0,0.21,-0.42,0.43,Frontopsylla ornata
-0.07,0.21,-0.53,0.32,Frontopsylla protera
0.01,0.21,-0.41,0.43,Frontopsylla semura
0.06,0.23,-0.38,0.52,Frontopsylla wagneri
0.05,0.22,-0.39,0.5,Fucellia pictipennis
0.03,0.23,-0.42,0.49,Ganoxanthus pallidus
0.02,0.23,-0.43,0.49,Garrulus glandarius
0.01,0.22,-0.44,0.47,Gelechia lithodes
0.02,0.22,-0.41,0.46,Gonia picea
0.01,0.22,-0.44,0.45,Gracilicera setosa
0.02,0.21,-0.4,0.45,Grammoptera ruficornis
0,0.22,-0.44,0.47,Graphania omoplaca
0.03,0.21,-0.4,0.45,Graphomyia maculata
-0,0.23,-0.47,0.46,Gymnosoma nudifrons
-0.04,0.2,-0.45,0.36,Gymnosoma rotundatum
-0,0.22,-0.45,0.43,Habia rubica
0,0.22,-0.42,0.46,Habromyia lipoflava
0.04,0.22,-0.38,0.5,Halictus gemmeus
0,0.22,-0.44,0.44,Harmonia axyridis
0,0.23,-0.45,0.47,Helastia cineraria
0.02,0.22,-0.41,0.47,Helophilus borealis
-0.02,0.22,-0.46,0.41,Helophilus pendulus
0.1,0.2,-0.29,0.5,Helophilus virgatus
0.02,0.22,-0.41,0.48,Heteria appendiculata
0.02,0.22,-0.41,0.48,Heteria plebeia
0.06,0.22,-0.38,0.53,Heterostylodes pratensis
0.03,0.22,-0.41,0.48,Heterotrissocladius subpilosus
-0,0.23,-0.47,0.45,Homodotis megaspilata
0.01,0.22,-0.44,0.44,Hoplia moerens
0,0.22,-0.46,0.47,Hydriomena deltoidata
0.04,0.22,-0.39,0.47,Hylaeus brevicornis
0.01,0.2,-0.4,0.41,Hylaeus floralis
0.03,0.2,-0.36,0.44,Hylaeus globula
-0,0.22,-0.44,0.42,Hylaeus nippon
0.01,0.22,-0.45,0.48,Hylaeus relegatus
0.01,0.22,-0.44,0.47,Hylaeus variegatus
0.01,0.23,-0.45,0.49,Hypsochila wagenknechti
-0.08,0.22,-0.52,0.35,Hystrichopsylla microti
-0,0.21,-0.45,0.41,Hystrichopsylla orientalis
-0.15,0.16,-0.47,0.15,Hystrichopsylla talpae
0.11,0.22,-0.3,0.57,Icterus dominicensis
0.04,0.22,-0.37,0.49,Idiostrangalia contracta
0.01,0.23,-0.44,0.48,Imatisma abdominalis
-0.05,0.22,-0.5,0.38,Inachis io
0.01,0.22,-0.41,0.45,Ivela auripes
0.03,0.22,-0.39,0.49,Lasiestra leucocycla
-0,0.23,-0.46,0.46,Lasiocampa quercus
-0.15,0.2,-0.57,0.22,Lasioglossum apristum
-0.01,0.22,-0.44,0.42,Lasioglossum baleicum
0.05,0.23,-0.39,0.51,Lasioglossum calceatum
0.02,0.23,-0.42,0.48,Lasioglossum duplex
-0.02,0.23,-0.49,0.43,Lasioglossum evylaeus
-0.04,0.22,-0.49,0.4,Lasioglossum exiliceps
0.01,0.21,-0.39,0.43,Lasioglossum fratellum
-0.05,0.2,-0.46,0.34,Lasioglossum japonicum
0.03,0.22,-0.41,0.48,Lasioglossum leucopus
0.08,0.22,-0.34,0.54,Lasioglossum leucozonium
0.02,0.23,-0.42,0.46,Lasioglossum nipponense
-0.15,0.2,-0.55,0.21,Lasioglossum occidens
-0.02,0.21,-0.44,0.4,Lasioglossum problematicum
0.01,0.22,-0.43,0.47,Lasioglossum proximatum
-0.03,0.21,-0.46,0.39,Lasioglossum punctatissimum
-0.01,0.22,-0.44,0.44,Lasioglossum sexstrigatum
0.04,0.2,-0.36,0.44,Lasioglossum sibiriacum
0.01,0.22,-0.43,0.44,Lasioglossum sordidum
-0.02,0.2,-0.43,0.38,Lasioglossum transpositum
0.09,0.22,-0.32,0.55,Lasioglossum villosulum
-0.01,0.23,-0.47,0.45,Lasiopiophila pilosa
-0.06,0.21,-0.47,0.33,Lasius niger
-0,0.23,-0.48,0.44,Leioproctus boltonii
0.01,0.22,-0.41,0.45,Leioproctus fulvescens
0,0.23,-0.46,0.45,Leioproctus imitatus
-0.03,0.23,-0.48,0.42,Lepidanthrax tinctus
0,0.23,-0.45,0.48,Lepidomyia decessum
0.05,0.21,-0.35,0.47,Leprus cyaneus
0.06,0.22,-0.35,0.5,Leptopsylla nana
0.02,0.18,-0.34,0.38,Leptopsylla segnis
0.11,0.23,-0.32,0.59,Leptopsylla sicistae
0.02,0.2,-0.38,0.41,Leptopsylla taschenbergi
0,0.23,-0.47,0.45,Leptura arcuata
-0.03,0.2,-0.44,0.37,Leptura melanura
0,0.22,-0.43,0.43,Leptura ochraceofasciata
0.06,0.22,-0.36,0.52,Leptura rubra
0.01,0.22,-0.41,0.48,Leucochloris albicollis
0.05,0.23,-0.38,0.53,Leucozona lucorum
0,0.22,-0.44,0.45,Limnophyes brachytomus
0.03,0.23,-0.41,0.49,Linoetis coeruleipennis
-0,0.22,-0.44,0.45,Linotetis coeruleipennis
0.01,0.22,-0.43,0.46,Lithophane socia
0,0.23,-0.45,0.46,Loderus eversmanini obscurus
0.03,0.22,-0.41,0.48,Lomographa bimaculata
0.01,0.23,-0.46,0.47,Lomographa temerata
0.02,0.23,-0.44,0.47,Loxia curvirostra
-0.14,0.2,-0.59,0.24,Loxigilla portoricensis
0.01,0.23,-0.44,0.46,Lucilia bufonivora
-0.03,0.21,-0.44,0.39,Lucilia sericata
0.02,0.24,-0.46,0.5,Lycaena boldenarium
0.01,0.21,-0.41,0.44,Lycaena phlaeas
0.01,0.23,-0.46,0.46,Lycaena salustius
0.02,0.22,-0.42,0.48,Lycaena virgaureae
-0.05,0.22,-0.49,0.38,Lyophlaeba lugubris
-0.02,0.23,-0.47,0.42,Macroglossum stellatarum
0.04,0.23,-0.41,0.5,Malachius viridis
0.01,0.23,-0.44,0.45,Mallochomacquartia setiventris
-0.05,0.22,-0.51,0.37,Manacus manacus
-0.17,0.2,-0.6,0.2,Maniola jurtina
-0,0.21,-0.42,0.43,Margarops fuscatus
0.03,0.22,-0.41,0.45,Megabothris advenarius
-0.01,0.22,-0.47,0.45,Megabothris asio
0.01,0.23,-0.45,0.48,Megabothris bispinosa
-0,0.19,-0.38,0.37,Megabothris calcarifer
-0.2,0.17,-0.55,0.11,Megabothris rectangulatus
-0.07,0.17,-0.42,0.26,Megabothris turbidus
-0.02,0.17,-0.36,0.31,Megabothris walkeri
0.01,0.23,-0.43,0.47,Megachile nipponica
0.02,0.21,-0.39,0.45,Megachile semirufa
-0,0.2,-0.42,0.41,Megachile tsurugensis
-0,0.21,-0.42,0.42,Megaspis zonata
0.01,0.22,-0.44,0.44,Melanerpes portoricensis
0.01,0.23,-0.45,0.48,Melangyna novaezelandiae
-0.03,0.22,-0.48,0.41,Melangyna ortas
0.01,0.22,-0.42,0.43,Melanoplus arizonae
-0.05,0.22,-0.5,0.39,Melanoplus desultorius
-0,0.21,-0.42,0.43,Melanoplus gladstoni
0.03,0.22,-0.4,0.48,Melanostoma mellinum
-0.27,0.19,-0.67,0.07,Melanostoma scalare
0.02,0.21,-0.42,0.44,Melanotus annosus
0.02,0.22,-0.4,0.46,Meligethes aeneus
0.06,0.2,-0.34,0.45,Meliscaeva cinctella
0.05,0.21,-0.37,0.49,Mellinus arvensis
0.05,0.21,-0.36,0.48,Menida violacea
0.02,0.23,-0.45,0.49,Mesapamea secalis
0.04,0.22,-0.4,0.48,Mesopsylla apscheronica
0.13,0.22,-0.28,0.61,Mesopsylla eucta
0.07,0.2,-0.31,0.49,Mesopsylla hebes
-0.01,0.2,-0.41,0.39,Mesopsylla lenis
0.08,0.21,-0.33,0.5,Mesopsylla tuschkan
-0.01,0.23,-0.46,0.46,Metasyrphus corollae
0,0.22,-0.44,0.45,Metasyrphus nintens
0.02,0.22,-0.42,0.49,Miccotrogus picirostris
0.09,0.22,-0.32,0.55,Micropterix aruncella
0.01,0.22,-0.43,0.44,Mimesa equestris
-0,0.22,-0.43,0.45,Molothrus bonariensis
0.01,0.22,-0.43,0.45,Monolepta pallidula
0.01,0.22,-0.44,0.44,Mordella detracta
0.01,0.24,-0.46,0.5,Mordella melaena
0.01,0.22,-0.43,0.44,Morellia aenescens
0.03,0.23,-0.41,0.51,Myarchus antillarum
0.03,0.22,-0.39,0.47,Myiodynastes maculatus
0.06,0.23,-0.38,0.56,Myiophobus fasciatus
0.1,0.23,-0.35,0.58,Myoxopsylla jordani
-0,0.22,-0.43,0.42,Myrmica ruginodis
-0.01,0.22,-0.46,0.43,Naenia typica
0.01,0.21,-0.42,0.43,Nemophora degeerella
0.03,0.22,-0.41,0.48,Neoascia tenur
0.05,0.2,-0.33,0.46,Neopsylla acanthina
0.05,0.22,-0.36,0.5,Neopsylla bidentatiformis
-0.29,0.18,-0.67,0.04,Neopsylla mana
0.05,0.22,-0.39,0.49,Neopsylla meridiana
-0.08,0.17,-0.41,0.23,Neopsylla pleskei
-0.07,0.18,-0.44,0.29,Neopsylla setosa
