Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,species_1
0.07,0.47,-0.87,1.01,Billbergia amoena
-0.08,0.43,-0.93,0.79,Bistorta tenuicaulis
0.16,0.45,-0.73,1.05,Bouteloua curtipendula
-0.09,0.42,-0.92,0.74,Bouteloua gracilis
-0.1,0.37,-0.84,0.64,Bouteloua hirsuta
0.04,0.47,-0.9,0.97,Bridelia micrantha
-0.1,0.39,-0.89,0.67,Buchloe dactyloides
-0.07,0.39,-0.84,0.7,Cabralea canjerana
0.2,0.43,-0.63,1.06,Calandrinia affinis
0,0.47,-0.92,0.94,Calceolaria biflora
0.02,0.45,-0.87,0.89,Callicarpa japonica
-0.42,0.26,-0.92,0.09,Calluna vulgaris
0.38,0.46,-0.51,1.3,Calystegia sepium
0.03,0.45,-0.83,0.92,Campanula gieseckiana
0.13,0.36,-0.56,0.85,Campanula rotundifolia
0.08,0.45,-0.81,0.99,Cardamine regeliana
-0.16,0.34,-0.82,0.49,Cardiandra alternifolia
-0.13,0.42,-0.96,0.68,Casearia arborea
0.05,0.42,-0.78,0.89,Cassiope tetragona
0.34,0.36,-0.34,1.04,Castanea crenata
0.09,0.46,-0.84,1.05,Ceballosia fruticosa
-0.74,0.39,-1.52,-0,Cecropia schreberiana
0.15,0.47,-0.76,1.1,Celmisia gracilenta
0.19,0.45,-0.67,1.11,Celmisia spectabilis
0.02,0.38,-0.74,0.77,Centaurea nigra
0.44,0.42,-0.36,1.3,Cerastium alpinum
-0.03,0.46,-0.94,0.86,Cerastium arcticum
-0.29,0.41,-1.1,0.5,Cerastium arvense
-0.03,0.49,-0.98,0.94,Cerastium fontanum
-0.1,0.39,-0.85,0.65,Chaerophyllum temulentum
0.02,0.4,-0.75,0.8,Chaetanthera euphrasioides
-0.16,0.47,-1.09,0.75,Chamaenerium angustifolium
-0,0.45,-0.89,0.85,Chamissoa altissima
-0.04,0.41,-0.85,0.79,Chamomilla recutita
0.18,0.44,-0.67,1.04,Chelidonium majus
0.06,0.45,-0.82,0.92,Chionomys nivalis
0.06,0.48,-0.87,1,Chrysanthemum leucanthemum
-0.19,0.38,-0.95,0.57,Chuquiraga oppositifolia
-0.33,0.33,-0.99,0.31,Cirsium arvense
-0.08,0.35,-0.75,0.63,Cirsium japonicum
0.04,0.34,-0.62,0.71,Cirsium vulgare
-0.09,0.48,-1.07,0.86,Cistus monspeliensis
-0.22,0.4,-1.02,0.54,Cistus salvifolius
-0.05,0.46,-0.95,0.86,Citrus sinensis
-0.55,0.46,-1.49,0.31,Claytonia virginica
-0.01,0.46,-0.91,0.9,Clerodendrum trichotomum
-0.22,0.32,-0.85,0.39,Clethrionomys centralis
-0.51,0.22,-0.94,-0.09,Clethrionomys glareolus
-0.6,0.24,-1.08,-0.13,Clethrionomys rufocanus
-0.63,0.23,-1.09,-0.2,Clethrionomys rutilus
-0.21,0.39,-0.97,0.55,Clusia rosea
0.2,0.44,-0.67,1.05,Coffea arabica
0.07,0.45,-0.84,0.97,Commelina communis
-0.2,0.45,-1.09,0.69,Convolvulus althaeoides
-0.23,0.45,-1.1,0.63,Convolvulus arvensis
0.07,0.42,-0.75,0.89,Convolvulus equitans
-0.02,0.48,-0.97,0.91,Cordia lutea
0.03,0.44,-0.85,0.91,Corydalis lineariloba
0.09,0.33,-0.56,0.74,Corydalis pallida
0.02,0.48,-0.91,0.96,Craspedia uniflora
-0.55,0.4,-1.38,0.23,Crataegus monogyna
0.36,0.34,-0.28,1.04,Cricetulus barabensis
-0.61,0.17,-0.95,-0.28,Cricetulus migratorius
-0.16,0.27,-0.7,0.38,Cricetus cricetus
0.25,0.38,-0.49,0.99,Crocidura suaveolens
-0.07,0.41,-0.86,0.74,Croton pottsii
-0.06,0.44,-0.93,0.81,Cryptantha mexicana
0.06,0.44,-0.81,0.93,Cryptotaenia japonica
0.2,0.43,-0.65,1.07,Cupania americana
0.28,0.45,-0.6,1.18,Daphne laureola
0.09,0.48,-0.85,1.03,Darwiniothamnus tenuifolius
-0.75,0.36,-1.48,-0.04,Daucus carota
0.1,0.42,-0.73,0.93,Dendropanax arboreus
0.19,0.42,-0.61,1.03,Dendropanax cuneatum
0.09,0.47,-0.83,1,Dendropemon bicolor
-0.11,0.47,-1.06,0.82,Dentaria laciniata
0.09,0.34,-0.58,0.75,Desmodium podocarpum
-0.34,0.19,-0.7,0.04,Deutzia crenata
0.05,0.35,-0.63,0.73,Deutzia maximowicziana
-0.11,0.46,-0.99,0.78,Digitalis purpurea
-0.11,0.34,-0.79,0.54,Dipus sagitta
0.1,0.45,-0.8,1.02,Dodecatheon meadia
-0.57,0.39,-1.37,0.17,Dryas integrifolia
0.09,0.49,-0.9,1.11,Dryas octopetala
0.42,0.32,-0.19,1.05,Dryomys nitedula
0.07,0.42,-0.73,0.89,Echium aculeatum
-0.04,0.45,-0.91,0.83,Echium plantagineum
-0.08,0.4,-0.88,0.68,Echium vulgare
0.36,0.38,-0.37,1.1,Ellobius talpinus
0.38,0.4,-0.42,1.17,Ellobius tancrei
0.07,0.47,-0.84,1.01,Empetrum nigrum
-0,0.35,-0.7,0.68,Epilobium angustifolium
-0.07,0.41,-0.86,0.71,Epilobium latifolium
0.52,0.43,-0.29,1.42,Epilobium montanum
0.2,0.43,-0.65,1.04,Eragrostis intermedia
0.34,0.44,-0.51,1.19,Eremodipus lichtensteini
0.16,0.29,-0.41,0.74,Erica tetralix
0.04,0.45,-0.84,0.93,Erigeron compositus
0.17,0.43,-0.65,1.02,Eryngium campestre
-0.08,0.48,-1.01,0.86,Erythronium albidum
-0.16,0.29,-0.72,0.41,Euonymus alatus
0.22,0.47,-0.67,1.16,Euonymus europaeus
-0.33,0.37,-1.05,0.39,Eupatorium cannabinum
0.01,0.46,-0.91,0.91,Eupatorium chinense
-0.07,0.46,-0.96,0.83,Euphorbia canariensis
-0.61,0.48,-1.58,0.29,Euphorbia obtusifolia
0.14,0.47,-0.78,1.06,Fagonia albiflora
-0.01,0.42,-0.85,0.82,Ficus luschnatiana
0.11,0.47,-0.81,1.04,Filipendula ulmaria
-0.37,0.46,-1.28,0.49,Fuchsia regia
-0.04,0.45,-0.91,0.85,Galactites tomentosa
0.12,0.45,-0.75,1.04,Galium propinquum
0.49,0.34,-0.18,1.15,Galium saxatile
0.1,0.48,-0.82,1.04,Galium verum
-0.11,0.36,-0.81,0.6,Genista anglica
-0.06,0.34,-0.72,0.61,Geranium nepalense
-0.44,0.37,-1.17,0.28,Geranium robertianum
0.11,0.41,-0.68,0.94,Geum japonicum
-0.06,0.43,-0.92,0.8,Gomidesia affinis
0.1,0.38,-0.64,0.84,Guarea guidonia
0.1,0.48,-0.81,1.04,Hebe odora
-0.71,0.37,-1.45,-0.01,Hedera helix
0.1,0.47,-0.83,1.03,Helichrysum bellidioides
0.22,0.46,-0.68,1.16,Helichrysum selago
-0.18,0.45,-1.06,0.68,Helichrysum stoechas
0.04,0.42,-0.78,0.89,Henriettea fascicularis
0.15,0.42,-0.67,0.99,Heracleum lanatum
-0.04,0.48,-0.99,0.93,Hibiscus tiliaceus
0.19,0.35,-0.48,0.88,Hieracium pilosella
-0.05,0.28,-0.61,0.5,Hieracium umbellatum
0.06,0.48,-0.89,1.05,Hippeastrum aulicum
0.19,0.47,-0.72,1.11,Houttuynia cordata
-0.14,0.29,-0.72,0.43,Hydrangea hirta
0.02,0.27,-0.51,0.55,Hydrangea macrophylla
0.08,0.23,-0.37,0.53,Hydrangea paniculata
0.05,0.46,-0.85,0.92,Hypericum pseudopetiolatum
-0.12,0.25,-0.61,0.36,Hypochoeris radicata
0.04,0.44,-0.83,0.89,Impatiens noli-tangere
0.06,0.42,-0.74,0.89,Impatiens textori
0.1,0.44,-0.71,1,Inga laurina
-0.08,0.41,-0.89,0.73,Inga vera
-0.04,0.48,-0.98,0.91,Ipomoea tiliacea
-0.19,0.45,-1.09,0.66,Isopyrum biternatum
-0,0.45,-0.92,0.91,Ixeris debilis
-0.3,0.27,-0.83,0.23,Ixeris dentata
0.08,0.48,-0.84,1.04,Juncus effusus
-0.02,0.42,-0.83,0.79,Juniperus communis
0.04,0.47,-0.87,0.97,Juniperus oxycedrus
-0.2,0.41,-1.01,0.62,Juniperus phoenicea
0.05,0.44,-0.79,0.91,Juniperus sabina
0.23,0.41,-0.58,1.03,Justicia procumbens
0.03,0.46,-0.86,0.92,Kalimeris pinnatifida
-0.23,0.28,-0.78,0.33,Kalimeris yomena
0.01,0.38,-0.75,0.75,Kerria japonica
-0.18,0.38,-0.94,0.57,Knautia arvensis
0.65,0.4,-0.12,1.47,Lagurus lagurus
0.03,0.46,-0.9,0.96,Lantana camara
-0.08,0.46,-0.98,0.84,Lantana involucrata
0.23,0.43,-0.6,1.09,Lapsana communis
0.17,0.46,-0.73,1.11,Laretia acaulis
0.14,0.38,-0.6,0.89,Lasiopodomys brandtii
0.05,0.41,-0.76,0.86,Lathyrus pratensis
0.32,0.42,-0.49,1.17,Lavandula buchii
-0.02,0.45,-0.91,0.85,Lavandula stoechas
-0.13,0.46,-1.06,0.75,Ledum palustre
0.04,0.44,-0.85,0.91,Lemmus sibiricus
-0.09,0.4,-0.88,0.69,Leptaloma cognata
0.11,0.46,-0.78,1.03,Leptospermum scoparium
-0.01,0.36,-0.73,0.68,Lespedeza bicolor
0.1,0.42,-0.73,0.94,Lesquerella arctica
-1.09,0.47,-2.03,-0.18,Leucanthemum vulgare
-0.05,0.4,-0.83,0.73,Ligularia fischerii
-0.32,0.32,-0.95,0.29,Ligustrum obtusifolium
0.11,0.45,-0.78,0.97,Linaria vulgaris
-0.01,0.47,-0.95,0.91,Loasa caespitosa
-0.07,0.41,-0.87,0.76,Lonicera arborea
-0.18,0.47,-1.14,0.75,Lonicera periclymenum
0.23,0.46,-0.67,1.16,Lonicera splendida
0.2,0.37,-0.53,0.93,Lotus corniculatus
-0.38,0.36,-1.08,0.3,Lychnis flos-cuculi
0.05,0.46,-0.88,0.96,Lyonia ovalifolia
0.28,0.44,-0.56,1.15,Lysimachia clethroides
0.13,0.43,-0.71,0.98,Lythrum anceps
0.05,0.48,-0.91,1.01,Machaeranthera scabrella
0.35,0.47,-0.57,1.32,Malva sylvestris
0.48,0.46,-0.4,1.44,Marmota baibacina
0.32,0.44,-0.53,1.18,Marmota bobak
0.61,0.34,-0.06,1.28,Marmota caudata
0.28,0.38,-0.47,1.02,Marmota sibirica
-0.09,0.45,-1,0.79,Medicago lupulina
0.43,0.42,-0.37,1.28,Melilotus albus
-0.09,0.33,-0.73,0.57,Meriones libycus
-0.54,0.26,-1.05,-0.03,Meriones meridianus
0.28,0.4,-0.48,1.09,Meriones persicus
0.01,0.29,-0.55,0.58,Meriones tamariscinus
0.08,0.4,-0.7,0.87,Meriones tristrami
0.35,0.42,-0.48,1.18,Meriones unguiculatus
-0.12,0.43,-0.99,0.69,Miconia affinis
0.21,0.44,-0.65,1.06,Miconia discolor
-0.07,0.43,-0.94,0.77,Miconia prasina
0.24,0.45,-0.64,1.15,Miconia serrulata
-0.31,0.26,-0.81,0.18,Micromys minutus
-0.51,0.23,-0.98,-0.07,Microtus agrestis
-0.57,0.18,-0.93,-0.2,Microtus arvalis
0.04,0.46,-0.85,0.95,Microtus fortis
-0.31,0.24,-0.8,0.16,Microtus gregalis
-0.28,0.37,-1.01,0.44,Microtus juldaschi
0.11,0.43,-0.73,0.97,Microtus majori
0.48,0.43,-0.36,1.35,Microtus maximowiczii
-0.46,0.2,-0.84,-0.08,Microtus oeconomus
0.07,0.31,-0.54,0.68,Microtus socialis
0.13,0.39,-0.64,0.9,Microtus subterraneus
0.27,0.46,-0.62,1.2,Momordica charantia
0.03,0.44,-0.83,0.9,Monarda fistulosa
0.13,0.44,-0.7,1.01,Muehlenbeckia axillaris
0.19,0.43,-0.67,1.04,Musa acuminata
0.29,0.45,-0.58,1.19,Muscardinus avellanarius
-0.05,0.3,-0.65,0.51,Myopus schisticolor
0.29,0.4,-0.49,1.09,Myosotis palustris
0.31,0.45,-0.56,1.21,Myoxus glis
-0,0.42,-0.84,0.83,Myrcine coriacea
0.13,0.44,-0.74,1,Nassauvia heterophylla
0,0.47,-0.93,0.91,Nassauvia pungens
0.16,0.4,-0.63,0.93,Neomys anomalus
-0.6,0.23,-1.05,-0.16,Neomys fodiens
0.1,0.46,-0.8,0.99,Neomys schelkovnikovi
-0.04,0.49,-1,0.91,Opuntia echios
0.03,0.43,-0.81,0.9,Osyris alba
0.01,0.41,-0.81,0.84,Oxalis compacta
0.06,0.47,-0.88,0.96,Oxalis corniculata
-0.07,0.44,-0.96,0.8,Oxalis pes-caprae
-0.09,0.44,-0.98,0.77,Paederia scandens
0.02,0.48,-0.91,0.96,Paeonia officinalis
-0.1,0.39,-0.85,0.65,Papaver radicatum
0.06,0.48,-0.88,1.01,Parahebe decora
-0.15,0.49,-1.11,0.82,Parahebe lyalii
0.02,0.49,-0.93,1.01,Passiflora foetida
-0,0.42,-0.83,0.81,Patrinia villosa
0.01,0.46,-0.87,0.93,Persicaria aestiva
-0.01,0.46,-0.93,0.92,Persicaria pubescens
-0.45,0.21,-0.86,-0.05,Persicaria thunbergii
-0.08,0.45,-0.99,0.81,Persicaria yokusaiana
0.18,0.46,-0.72,1.12,Phacelia secunda
-0.06,0.47,-0.97,0.9,Phillyrea angustifolia
0.01,0.37,-0.72,0.73,Phodopus sungorus
0.14,0.41,-0.64,0.95,Pieris japonica
0.07,0.49,-0.87,1.05,Pimelea traversii
-0.08,0.45,-1,0.8,Plantago asiatica
0.01,0.46,-0.9,0.92,Plantago major
0.14,0.43,-0.68,0.98,Plocama pendula
-0.03,0.47,-0.96,0.93,Plumbago scandens
-0.05,0.42,-0.88,0.78,Pollia japonica
0.1,0.42,-0.74,0.91,Polygala longa
0.23,0.34,-0.41,0.9,Polygonum viviparum
-0.66,0.25,-1.15,-0.19,Potentilla erecta
-0.01,0.46,-0.93,0.91,Potentilla freyniana
0.11,0.45,-0.76,0.99,Potentilla rubricaulis
0.17,0.45,-0.7,1.05,Pratia angulata
-0.49,0.41,-1.33,0.29,Protium heptaphyllum
0.07,0.34,-0.61,0.74,Prunella vulgaris
0.39,0.39,-0.37,1.17,Prunus avium
0.4,0.39,-0.33,1.18,Prunus cerasus
0.01,0.35,-0.67,0.7,Prunus domestica
-0.02,0.47,-0.97,0.9,Prunus jamasakura
0.02,0.47,-0.91,0.97,Prunus mahaleb
-0.5,0.36,-1.22,0.21,Prunus padus
0.09,0.48,-0.86,1.02,Prunus prostrata
-0.19,0.33,-0.85,0.45,Prunus spinosa
0.07,0.45,-0.82,0.94,Psidium guajava
0,0.48,-0.96,0.97,Psychotria acuminata
0.07,0.34,-0.59,0.74,Pygeretmus pumilio
0.15,0.46,-0.75,1.07,Pyrola grandiflora
0.09,0.49,-0.86,1.06,Pyrostegia venusta
0.04,0.43,-0.78,0.9,Rabdosia longituba
0.16,0.31,-0.45,0.77,Rabdosia trichocarpa
-0.15,0.36,-0.87,0.55,Ranunculus acris
0.29,0.36,-0.4,1.03,Ranunculus japonicus
0.43,0.44,-0.43,1.32,Ranunculus repens
0.08,0.36,-0.62,0.81,Ranunculus silerifolius
0.18,0.45,-0.71,1.06,Raoulia subsericea
-0.22,0.25,-0.71,0.26,Reynoutria japonica
0.3,0.45,-0.56,1.18,Rhamnus myrtifolius
0.31,0.45,-0.56,1.22,Rhamnus saxatilis
-0.1,0.44,-0.97,0.78,Rhododendron lapponicum
-0.27,0.31,-0.88,0.32,Rhombomys opimus
0.05,0.29,-0.51,0.62,Rhus javanica
0.23,0.4,-0.55,1.05,Rorippa indica
-0.02,0.39,-0.77,0.74,Rosa canina
-0.02,0.49,-0.99,0.93,Rosa rubiginosa
0.07,0.47,-0.86,1.01,Rosmarinus officinalis
0.12,0.44,-0.74,1,Roystonea borinquena
-0.06,0.48,-1.01,0.85,Rubus fruticosus
-0.04,0.29,-0.61,0.54,Rubus palmatus
0.23,0.45,-0.65,1.1,Rubus parvifolius
-0.59,0.42,-1.43,0.21,Rubus ulmifolius
-0.71,0.43,-1.56,0.11,Salix arctica
-0.72,0.3,-1.31,-0.13,Salix repens
0.18,0.48,-0.76,1.12,Sanicula graveolens
-0.04,0.46,-0.98,0.86,Saxifraga cernua
0.11,0.45,-0.75,1,Saxifraga hirculus
-0.49,0.37,-1.23,0.23,Saxifraga oppositifolia
-0.03,0.48,-0.95,0.91,Scalesia affinis
-0.26,0.37,-1.01,0.46,Schefflera morototoni
0.5,0.3,-0.07,1.08,Sciurus vulgaris
0.23,0.41,-0.56,1.04,Scleropogon brevifolius
0.03,0.37,-0.68,0.73,Scorzonea humilis
0.1,0.47,-0.84,1.05,Securinega suffruticosa
-0.48,0.39,-1.22,0.28,Senecio bustillosianus
0.05,0.42,-0.73,0.89,Senecio erucaeformis
-0.13,0.39,-0.91,0.65,Senecio francisci
0.2,0.39,-0.55,0.97,Senecio jacobea
0.1,0.4,-0.66,0.89,Senecio pierotii
-0.14,0.49,-1.12,0.82,Senecio scorzoneroides
0,0.46,-0.89,0.91,Setaria leucopila
-0.17,0.27,-0.69,0.34,Sicista betulina
-0.17,0.33,-0.81,0.47,Sicista subtilis
0.1,0.34,-0.58,0.78,Sicista tianshanica
-0.01,0.45,-0.91,0.86,Sida rhombifolia
-0.15,0.47,-1.07,0.76,Silene acaulis
-0.83,0.32,-1.48,-0.21,Silene dioica
-0.13,0.47,-1.07,0.76,Sinningia cooperi
-0,0.47,-0.94,0.95,Solanum nigrum
-0.03,0.45,-0.92,0.85,Solanum rugosum
0.1,0.45,-0.74,0.98,Solidago missouriensis
-0.45,0.27,-0.97,0.06,Solidago virgaurea
0.08,0.47,-0.82,1.03,Sonchus arvensis
0.4,0.45,-0.47,1.31,Sonchus palustris
-0.15,0.42,-0.97,0.66,Sorbus aria
0.18,0.4,-0.58,0.97,Sorex alpinus
-0.49,0.22,-0.92,-0.07,Sorex araneus
0.25,0.39,-0.49,1.03,Sorex arcticus
0.02,0.29,-0.56,0.58,Sorex caecutiens
0.34,0.42,-0.46,1.19,Sorex daphaenodon
0.19,0.43,-0.65,1.03,Sorex isodon
-0.02,0.37,-0.75,0.68,Sorex minutissimus
-0.41,0.27,-0.93,0.1,Sorex minutus
0.03,0.42,-0.77,0.85,Sorex roboratus
0.13,0.47,-0.76,1.06,Spermacoce assurgens
-0.12,0.39,-0.88,0.66,Spermophilopsis leptodactylus
0.6,0.37,-0.1,1.32,Spermophilus erythrogenys
0.19,0.3,-0.4,0.78,Spermophilus fulvus
0.36,0.43,-0.47,1.27,Spermophilus major
0.39,0.33,-0.26,1.04,Spermophilus pygmaeus
-0.09,0.29,-0.67,0.5,Spermophilus undulatus
0.03,0.47,-0.89,0.97,Spirotheca rivieri
0.32,0.45,-0.53,1.26,Stachys palustris
-0.1,0.38,-0.83,0.62,Stachys sylvatica
-0.06,0.46,-0.96,0.87,Stachyurus praecox
0.03,0.36,-0.66,0.73,Staphylea bumalda
-0.04,0.42,-0.85,0.8,Stellaria longipes
-0.49,0.21,-0.91,-0.07,Stenactis annuus
0.3,0.43,-0.54,1.14,Stylodipus telum
0.31,0.43,-0.52,1.16,Styrax japonica
-0.06,0.36,-0.8,0.64,Swida macrophylla
0.08,0.29,-0.48,0.64,Symplocos chinensis
0.06,0.44,-0.82,0.95,Talpa altaica
-0.32,0.28,-0.87,0.23,Talpa europaea
-0.3,0.24,-0.78,0.16,Tamias sibiricus
-0.12,0.48,-1.07,0.8,Tamus communis
0.48,0.42,-0.28,1.38,Tanacetum vulgare
0.37,0.43,-0.46,1.24,Taraxacum japonicum
0.28,0.36,-0.42,1.01,Taraxacum officinale
0.03,0.41,-0.76,0.84,Taxus baccata
-0.27,0.42,-1.09,0.52,Torilis japonica
0.18,0.46,-0.7,1.12,Tournefortia hisutissima
0.2,0.43,-0.63,1.06,Tradescantia virginiana
-0.36,0.36,-1.07,0.34,Trema micrantha
0.39,0.45,-0.43,1.32,Trichilia clauseni
0.06,0.38,-0.68,0.83,Trientalis europaea
0.21,0.42,-0.59,1.02,Trifolium dubium
-0.08,0.36,-0.78,0.64,Trifolium pratense
-0.48,0.26,-0.99,0.02,Trifolium repens
0.23,0.42,-0.6,1.1,Tripleurospermum inodorum
-0.06,0.48,-1,0.86,Tropaeolum polyph
0.3,0.44,-0.56,1.16,Urera baccifera
0.6,0.35,-0.08,1.3,Vaccinium myrtillus
0.56,0.32,-0.04,1.21,Vaccinium uliginosum
0.34,0.33,-0.29,0.97,Vaccinium vitis-idaea
0.33,0.44,-0.51,1.24,Verbascum thapsus
-0.02,0.46,-0.93,0.88,Verbena wrightii
-0.08,0.47,-1.01,0.84,Veronica persica
0.19,0.44,-0.67,1.05,Viburnum dilatatum
0.07,0.46,-0.86,0.96,Viburnum erosum
0.05,0.25,-0.45,0.53,Viburnum plicatum
-0.01,0.43,-0.86,0.8,Vicia cracca
0.35,0.44,-0.51,1.23,Vicia hirsuta
0.32,0.44,-0.51,1.23,Vicia sepium
0.07,0.44,-0.82,0.94,Viola grypoceras
0.2,0.48,-0.72,1.16,Viola philippii
0.25,0.35,-0.4,0.96,Viola verecunda
-0.17,0.47,-1.1,0.75,Vriesea carinata
-0.13,0.49,-1.09,0.83,Vriesea erythrodactylon
-0.09,0.47,-0.99,0.82,Vriesea incurvata
0.11,0.46,-0.8,1.01,Wahlenbergia albomarginata
-0.04,0.49,-1,0.93,Waltheria ovata
-0,0.44,-0.9,0.87,Weigela decora
-0.2,0.22,-0.63,0.22,Weigela hortensis
-0.02,0.47,-0.96,0.92,Wisteria floribunda
-0.11,0.43,-0.94,0.74,Xanthocephalum texanum
0.17,0.42,-0.67,1.03,Xylopia brasiliensis
0.06,0.48,-0.89,1.04,Zanthoxylum martinicensis
0.01,0.44,-0.86,0.86,Zinnia grandiflora
