Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,species_2
0.04,0.23,-0.42,0.51,Eritettix variabilis
-0.04,0.22,-0.48,0.4,Erithacus rubecula
0.03,0.22,-0.41,0.47,Ernestia rudis
0.01,0.22,-0.43,0.45,Erythronychia aliena
-0.09,0.23,-0.58,0.35,Etcheverrius chilensis
-0.1,0.23,-0.57,0.34,Eucera gracilipes
0.03,0.22,-0.39,0.47,Eucetonia pilifera
0.01,0.23,-0.45,0.46,Eucetonia roelofsi
0.01,0.23,-0.44,0.46,Eudonia sabulosella
0.01,0.22,-0.43,0.48,Eumenes dubius
-0.03,0.22,-0.48,0.39,Eumenes rubronotatus
0.08,0.22,-0.34,0.52,Eumerus tuberculatus
-0.13,0.22,-0.58,0.29,Eupeodes corollae
-0.01,0.21,-0.45,0.42,Eupeodes curtus
-0.02,0.23,-0.48,0.42,Eupeodes luniger
0.09,0.22,-0.32,0.55,Euphonia musica
-0.01,0.23,-0.46,0.44,Euphonia violacea
-0,0.24,-0.47,0.46,Eupithecia exiguata
-0.01,0.23,-0.47,0.44,Eupogonomyia groenlandica
-0.02,0.22,-0.47,0.41,Eupsilia transversa
-0.01,0.22,-0.47,0.42,Eurema hecabe
-0.01,0.22,-0.46,0.45,Eurois occulata
0.01,0.22,-0.42,0.44,Eurystylus coelestialium
0.01,0.22,-0.45,0.46,Eusphalerum parallelum
-0.06,0.21,-0.51,0.35,Faunula leucoglene
0.02,0.22,-0.41,0.48,Ficedula hypoleuca
-0.06,0.21,-0.49,0.36,Formica fusca
-0.01,0.22,-0.45,0.42,Formica japonica
0.08,0.22,-0.35,0.55,Formica rufa
0.06,0.23,-0.37,0.53,Formica sanguinea
0.02,0.22,-0.41,0.45,Fringilla coelebs
0.02,0.22,-0.45,0.47,Frontopsylla ambigua
-0.09,0.16,-0.42,0.2,Frontopsylla elata
-0.03,0.2,-0.44,0.38,Frontopsylla elatoides
-0.03,0.21,-0.45,0.38,Frontopsylla hetera
0.02,0.21,-0.39,0.44,Frontopsylla luculenta
0.08,0.22,-0.34,0.52,Frontopsylla macrophthalma
0.01,0.2,-0.4,0.41,Frontopsylla ornata
-0.07,0.21,-0.51,0.32,Frontopsylla protera
0.01,0.23,-0.44,0.48,Frontopsylla semura
0.07,0.23,-0.39,0.54,Frontopsylla wagneri
0.05,0.23,-0.4,0.51,Fucellia pictipennis
0.03,0.22,-0.39,0.47,Ganoxanthus pallidus
0.02,0.23,-0.43,0.49,Garrulus glandarius
0.01,0.23,-0.45,0.47,Gelechia lithodes
0.02,0.22,-0.41,0.46,Gonia picea
0.01,0.23,-0.45,0.48,Gracilicera setosa
0.03,0.23,-0.43,0.5,Grammoptera ruficornis
0,0.23,-0.45,0.47,Graphania omoplaca
0.02,0.22,-0.43,0.47,Graphomyia maculata
-0,0.22,-0.47,0.44,Gymnosoma nudifrons
-0.05,0.21,-0.47,0.35,Gymnosoma rotundatum
-0,0.22,-0.45,0.45,Habia rubica
0,0.22,-0.43,0.45,Habromyia lipoflava
0.04,0.22,-0.38,0.51,Halictus gemmeus
0,0.23,-0.46,0.45,Harmonia axyridis
0.01,0.23,-0.46,0.47,Helastia cineraria
0.01,0.22,-0.43,0.47,Helophilus borealis
-0.02,0.21,-0.46,0.4,Helophilus pendulus
0.1,0.19,-0.27,0.5,Helophilus virgatus
0.02,0.22,-0.43,0.47,Heteria appendiculata
0.02,0.22,-0.41,0.47,Heteria plebeia
0.05,0.23,-0.4,0.52,Heterostylodes pratensis
0.03,0.23,-0.45,0.5,Heterotrissocladius subpilosus
0,0.23,-0.45,0.48,Homodotis megaspilata
0.01,0.22,-0.43,0.46,Hoplia moerens
0,0.23,-0.47,0.46,Hydriomena deltoidata
0.03,0.23,-0.41,0.49,Hylaeus brevicornis
0.01,0.2,-0.4,0.41,Hylaeus floralis
0.03,0.21,-0.39,0.45,Hylaeus globula
-0,0.22,-0.44,0.44,Hylaeus nippon
0,0.24,-0.47,0.48,Hylaeus relegatus
0.01,0.23,-0.45,0.47,Hylaeus variegatus
0.02,0.22,-0.42,0.45,Hypsochila wagenknechti
-0.07,0.21,-0.52,0.35,Hystrichopsylla microti
-0.01,0.21,-0.44,0.42,Hystrichopsylla orientalis
-0.15,0.16,-0.47,0.16,Hystrichopsylla talpae
0.11,0.23,-0.32,0.59,Icterus dominicensis
0.04,0.22,-0.4,0.48,Idiostrangalia contracta
0.01,0.23,-0.44,0.48,Imatisma abdominalis
-0.05,0.21,-0.5,0.37,Inachis io
0.01,0.23,-0.44,0.48,Ivela auripes
0.03,0.23,-0.42,0.5,Lasiestra leucocycla
0,0.22,-0.45,0.44,Lasiocampa quercus
-0.14,0.19,-0.56,0.21,Lasioglossum apristum
-0,0.21,-0.43,0.43,Lasioglossum baleicum
0.05,0.23,-0.39,0.51,Lasioglossum calceatum
0.02,0.23,-0.45,0.48,Lasioglossum duplex
-0.02,0.22,-0.47,0.42,Lasioglossum evylaeus
-0.03,0.22,-0.49,0.39,Lasioglossum exiliceps
0.02,0.22,-0.4,0.46,Lasioglossum fratellum
-0.05,0.21,-0.47,0.36,Lasioglossum japonicum
0.03,0.23,-0.43,0.51,Lasioglossum leucopus
0.08,0.22,-0.34,0.52,Lasioglossum leucozonium
0.02,0.23,-0.44,0.49,Lasioglossum nipponense
-0.15,0.19,-0.56,0.21,Lasioglossum occidens
-0.02,0.22,-0.46,0.42,Lasioglossum problematicum
0.02,0.23,-0.44,0.49,Lasioglossum proximatum
-0.03,0.21,-0.46,0.4,Lasioglossum punctatissimum
-0,0.22,-0.46,0.44,Lasioglossum sexstrigatum
0.04,0.21,-0.36,0.46,Lasioglossum sibiriacum
0.01,0.24,-0.45,0.48,Lasioglossum sordidum
-0.02,0.2,-0.43,0.38,Lasioglossum transpositum
0.1,0.22,-0.32,0.54,Lasioglossum villosulum
-0.02,0.22,-0.46,0.44,Lasiopiophila pilosa
-0.07,0.2,-0.48,0.32,Lasius niger
-0,0.23,-0.46,0.47,Leioproctus boltonii
0.01,0.23,-0.44,0.47,Leioproctus fulvescens
0,0.23,-0.44,0.46,Leioproctus imitatus
-0.02,0.22,-0.47,0.41,Lepidanthrax tinctus
0.01,0.23,-0.44,0.46,Lepidomyia decessum
0.06,0.22,-0.37,0.5,Leprus cyaneus
0.06,0.22,-0.36,0.51,Leptopsylla nana
0.02,0.18,-0.34,0.4,Leptopsylla segnis
0.1,0.23,-0.34,0.59,Leptopsylla sicistae
0.02,0.2,-0.39,0.41,Leptopsylla taschenbergi
0.01,0.22,-0.44,0.45,Leptura arcuata
-0.03,0.21,-0.44,0.38,Leptura melanura
0,0.22,-0.44,0.43,Leptura ochraceofasciata
0.06,0.23,-0.39,0.54,Leptura rubra
0.02,0.23,-0.43,0.47,Leucochloris albicollis
0.05,0.22,-0.37,0.49,Leucozona lucorum
-0,0.22,-0.45,0.44,Limnophyes brachytomus
0.03,0.22,-0.41,0.49,Linoetis coeruleipennis
-0,0.22,-0.46,0.44,Linotetis coeruleipennis
0.01,0.22,-0.43,0.44,Lithophane socia
0,0.22,-0.43,0.42,Loderus eversmanini obscurus
0.03,0.23,-0.43,0.5,Lomographa bimaculata
0,0.22,-0.44,0.45,Lomographa temerata
0.02,0.22,-0.41,0.47,Loxia curvirostra
-0.14,0.2,-0.56,0.23,Loxigilla portoricensis
0.02,0.22,-0.43,0.47,Lucilia bufonivora
-0.03,0.22,-0.47,0.4,Lucilia sericata
0.01,0.22,-0.43,0.47,Lycaena boldenarium
0.01,0.23,-0.43,0.46,Lycaena phlaeas
0.01,0.22,-0.44,0.48,Lycaena salustius
0.02,0.22,-0.41,0.45,Lycaena virgaureae
-0.05,0.22,-0.49,0.38,Lyophlaeba lugubris
-0.02,0.22,-0.47,0.41,Macroglossum stellatarum
0.03,0.22,-0.41,0.47,Malachius viridis
0.01,0.23,-0.43,0.47,Mallochomacquartia setiventris
-0.06,0.23,-0.52,0.38,Manacus manacus
-0.16,0.21,-0.59,0.22,Maniola jurtina
0,0.22,-0.43,0.43,Margarops fuscatus
0.03,0.21,-0.39,0.47,Megabothris advenarius
-0.01,0.23,-0.48,0.44,Megabothris asio
0.01,0.22,-0.43,0.45,Megabothris bispinosa
-0.01,0.18,-0.38,0.35,Megabothris calcarifer
-0.2,0.18,-0.56,0.12,Megabothris rectangulatus
-0.07,0.17,-0.41,0.24,Megabothris turbidus
-0.02,0.17,-0.36,0.31,Megabothris walkeri
0.01,0.23,-0.47,0.48,Megachile nipponica
0.02,0.22,-0.43,0.48,Megachile semirufa
-0.01,0.2,-0.42,0.39,Megachile tsurugensis
-0,0.2,-0.41,0.41,Megaspis zonata
0.01,0.22,-0.43,0.44,Melanerpes portoricensis
0,0.22,-0.44,0.46,Melangyna novaezelandiae
-0.04,0.23,-0.5,0.43,Melangyna ortas
0.01,0.22,-0.42,0.47,Melanoplus arizonae
-0.05,0.21,-0.5,0.38,Melanoplus desultorius
-0.01,0.21,-0.44,0.42,Melanoplus gladstoni
0.03,0.22,-0.4,0.47,Melanostoma mellinum
-0.27,0.19,-0.67,0.07,Melanostoma scalare
0.02,0.22,-0.42,0.48,Melanotus annosus
0.01,0.21,-0.39,0.42,Meligethes aeneus
0.06,0.21,-0.35,0.48,Meliscaeva cinctella
0.05,0.22,-0.39,0.51,Mellinus arvensis
0.05,0.21,-0.36,0.47,Menida violacea
0.02,0.22,-0.41,0.46,Mesapamea secalis
0.04,0.23,-0.41,0.51,Mesopsylla apscheronica
0.13,0.22,-0.28,0.61,Mesopsylla eucta
0.07,0.2,-0.33,0.49,Mesopsylla hebes
-0.02,0.21,-0.46,0.4,Mesopsylla lenis
0.07,0.21,-0.35,0.51,Mesopsylla tuschkan
-0.01,0.22,-0.46,0.43,Metasyrphus corollae
-0,0.23,-0.46,0.47,Metasyrphus nintens
0.03,0.23,-0.43,0.49,Miccotrogus picirostris
0.09,0.23,-0.35,0.57,Micropterix aruncella
0,0.22,-0.43,0.46,Mimesa equestris
-0,0.22,-0.46,0.46,Molothrus bonariensis
0.01,0.23,-0.44,0.47,Monolepta pallidula
0.01,0.23,-0.43,0.48,Mordella detracta
0.01,0.22,-0.43,0.45,Mordella melaena
0.01,0.22,-0.43,0.46,Morellia aenescens
0.03,0.23,-0.42,0.49,Myarchus antillarum
0.03,0.22,-0.39,0.47,Myiodynastes maculatus
0.07,0.23,-0.36,0.55,Myiophobus fasciatus
0.1,0.23,-0.33,0.58,Myoxopsylla jordani
-0,0.21,-0.42,0.42,Myrmica ruginodis
-0.01,0.23,-0.46,0.44,Naenia typica
0,0.22,-0.44,0.43,Nemophora degeerella
0.03,0.22,-0.39,0.48,Neoascia tenur
0.05,0.2,-0.33,0.45,Neopsylla acanthina
0.04,0.22,-0.38,0.49,Neopsylla bidentatiformis
-0.29,0.19,-0.68,0.04,Neopsylla mana
0.05,0.22,-0.38,0.5,Neopsylla meridiana
-0.08,0.18,-0.45,0.25,Neopsylla pleskei
