Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,id_pair
0.02,0.47,-0.9,0.96,209
0.05,0.48,-0.9,0.99,210
0.07,0.48,-0.84,1,211
0.04,0.49,-0.93,0.99,212
0.13,0.48,-0.81,1.09,213
0.13,0.47,-0.82,1.09,214
0.05,0.45,-0.84,0.95,215
-0.16,0.46,-1.09,0.73,216
0.03,0.48,-0.89,0.98,217
-0.11,0.46,-1.02,0.81,218
0.13,0.46,-0.77,1.05,219
0.11,0.48,-0.83,1.07,220
-0.15,0.47,-1.08,0.81,221
0.17,0.48,-0.74,1.09,222
-0.1,0.46,-1.01,0.8,223
0.09,0.47,-0.82,1.02,224
0.11,0.47,-0.81,1.01,225
0.04,0.46,-0.85,0.93,226
-0,0.47,-0.94,0.92,227
0.02,0.47,-0.91,0.96,228
-0.02,0.48,-0.96,0.91,229
-0.03,0.47,-0.95,0.88,230
0.03,0.48,-0.92,0.98,231
-0.01,0.47,-0.95,0.91,232
0.17,0.48,-0.73,1.13,233
0.01,0.45,-0.87,0.9,234
0.06,0.47,-0.82,1,235
-0.02,0.46,-0.94,0.88,236
0.04,0.46,-0.87,0.96,237
0.02,0.46,-0.88,0.91,238
0.02,0.45,-0.87,0.9,239
0.02,0.47,-0.89,0.92,240
-0.04,0.48,-0.97,0.9,241
0.04,0.46,-0.85,0.95,242
-0,0.46,-0.9,0.9,243
0.03,0.48,-0.92,0.98,244
0.01,0.48,-0.91,0.94,245
0.01,0.48,-0.93,0.95,246
0.03,0.47,-0.9,0.93,247
0.02,0.49,-0.93,1,248
0.03,0.49,-0.93,1.01,249
0.02,0.49,-0.95,0.98,250
0.02,0.49,-0.93,1,251
0.02,0.49,-0.94,0.98,252
0,0.5,-0.98,0.94,253
0.03,0.48,-0.91,1,254
0.02,0.47,-0.9,0.96,255
0.03,0.48,-0.91,0.98,256
0.04,0.48,-0.92,1.02,257
0.14,0.47,-0.77,1.07,258
0.12,0.48,-0.82,1.07,259
0.03,0.48,-0.92,0.96,260
0.19,0.47,-0.75,1.15,261
0.04,0.47,-0.89,0.97,262
0.03,0.47,-0.87,0.97,263
-0.18,0.48,-1.09,0.77,264
0.07,0.48,-0.88,1.01,265
-0.09,0.47,-1,0.84,266
0.11,0.47,-0.81,1.05,267
-0.11,0.46,-1,0.77,268
-0.12,0.47,-1.06,0.77,269
0.08,0.46,-0.82,0.98,270
-0.11,0.46,-1.02,0.8,271
0.08,0.47,-0.86,1.03,272
-0.11,0.48,-1.06,0.82,273
-0.16,0.49,-1.12,0.79,274
0.11,0.48,-0.82,1.05,275
0.08,0.47,-0.87,1.04,276
0.08,0.49,-0.87,1.07,277
0.06,0.48,-0.89,1.04,278
0.1,0.47,-0.8,1.04,279
0.09,0.49,-0.85,1.07,280
0.01,0.47,-0.93,0.96,281
-0.05,0.46,-0.98,0.85,282
-0,0.47,-0.97,0.94,283
-0.08,0.47,-1.04,0.85,284
-0.2,0.47,-1.09,0.71,285
0.01,0.47,-0.92,0.95,286
-0.06,0.46,-0.94,0.87,287
-0.04,0.46,-0.94,0.86,288
-0.12,0.46,-1.04,0.77,289
-0.01,0.48,-0.96,0.96,290
-0.05,0.48,-1.02,0.9,291
-0.06,0.47,-0.98,0.89,292
-0.04,0.45,-0.91,0.88,293
0.04,0.47,-0.91,1,294
-0,0.48,-0.97,0.94,295
-0.05,0.49,-1.01,0.89,296
0.14,0.47,-0.77,1.08,297
-0.03,0.46,-0.97,0.89,298
-0.02,0.46,-0.89,0.85,299
-0.02,0.47,-0.94,0.88,300
-0.04,0.46,-0.94,0.88,301
-0.08,0.47,-1.02,0.82,302
-0.05,0.48,-1.01,0.88,303
0.34,0.45,-0.54,1.24,304
-0.08,0.48,-1.04,0.87,305
0.16,0.47,-0.75,1.08,306
0.2,0.49,-0.78,1.19,307
0.06,0.49,-0.9,1.06,308
-0.15,0.47,-1.09,0.77,309
-0.01,0.47,-0.93,0.91,310
0.02,0.45,-0.9,0.9,311
-0.12,0.47,-1.05,0.82,312
0.12,0.47,-0.79,1.06,313
-0.05,0.47,-0.95,0.84,314
-0.01,0.46,-0.92,0.91,315
-0.13,0.46,-1.02,0.78,316
-0.03,0.47,-0.94,0.9,317
-0.04,0.47,-0.98,0.88,318
-0.24,0.46,-1.15,0.64,319
-0.09,0.45,-1,0.81,320
-0.27,0.46,-1.15,0.61,321
-0.25,0.46,-1.18,0.63,322
-0.16,0.47,-1.08,0.75,323
-0.09,0.47,-1.02,0.84,324
-0.07,0.49,-1.04,0.89,325
-0.17,0.46,-1.07,0.74,326
-0.2,0.47,-1.14,0.7,327
0.1,0.48,-0.85,1.02,328
0.07,0.48,-0.85,1.03,329
0.15,0.46,-0.74,1.06,330
-0.41,0.46,-1.35,0.48,331
0.01,0.48,-0.96,0.99,332
0.13,0.48,-0.81,1.07,333
0.11,0.46,-0.81,1.05,334
0.09,0.46,-0.82,1,335
-0.08,0.46,-0.97,0.85,336
0.26,0.47,-0.65,1.19,337
0.17,0.47,-0.74,1.08,338
0.05,0.49,-0.9,1.02,339
0.04,0.48,-0.88,1.03,340
0.04,0.48,-0.89,0.96,341
0.16,0.48,-0.76,1.12,342
-0.12,0.46,-1.03,0.78,343
-0.17,0.48,-1.14,0.74,344
-0.09,0.46,-0.99,0.82,345
0.09,0.47,-0.82,1.02,346
0.1,0.49,-0.84,1.1,347
-0.07,0.46,-0.97,0.84,348
-0.1,0.47,-1.05,0.82,349
-0.11,0.46,-1.02,0.78,350
0.1,0.46,-0.8,1.02,351
0.22,0.47,-0.69,1.15,352
0.22,0.46,-0.66,1.17,353
0.03,0.46,-0.88,0.95,354
0.02,0.47,-0.87,0.96,355
0.14,0.47,-0.78,1.05,356
0.05,0.47,-0.84,0.95,357
0.03,0.46,-0.86,0.92,358
-0.06,0.47,-0.98,0.85,359
-0.03,0.45,-0.89,0.81,360
-0,0.46,-0.91,0.91,361
0.1,0.47,-0.83,1,362
0.02,0.46,-0.89,0.93,363
0.13,0.45,-0.73,1,364
-0.09,0.46,-1.02,0.83,365
0.01,0.46,-0.9,0.91,366
-0.06,0.46,-0.98,0.82,367
0.12,0.45,-0.74,0.99,368
0,0.46,-0.9,0.9,369
0.15,0.47,-0.76,1.11,370
0.08,0.45,-0.79,0.98,371
-0.02,0.46,-0.92,0.87,372
0.04,0.45,-0.83,0.91,373
-0,0.46,-0.87,0.91,374
0.3,0.44,-0.57,1.19,375
0.11,0.46,-0.81,1,376
-0.08,0.47,-1.01,0.85,377
-0.05,0.48,-1.02,0.91,378
0.01,0.49,-0.95,1,379
-0.23,0.51,-1.21,0.81,380
0.09,0.49,-0.85,1.05,381
-0.05,0.5,-1.02,0.91,382
0.01,0.48,-0.93,0.98,383
0.01,0.48,-0.94,0.94,384
0,0.5,-0.97,1.01,385
0.01,0.5,-0.99,0.97,386
0.01,0.49,-0.93,0.98,387
0.02,0.48,-0.88,0.99,388
0.03,0.49,-0.91,0.99,389
-0.04,0.47,-0.98,0.88,390
-0.09,0.48,-1.04,0.86,391
-0.22,0.49,-1.2,0.75,392
-0.03,0.49,-0.99,0.97,393
-0.03,0.47,-0.95,0.88,394
-0.09,0.47,-1.02,0.85,395
0.08,0.48,-0.86,1.05,396
0.18,0.47,-0.71,1.12,397
-0.1,0.48,-1.06,0.84,398
0.03,0.47,-0.88,0.96,399
0.11,0.47,-0.81,1.04,400
-0.17,0.47,-1.09,0.73,401
0.07,0.48,-0.89,1.03,402
0.03,0.49,-0.93,1,403
0.1,0.47,-0.8,1.04,404
0.09,0.5,-0.88,1.09,405
0.1,0.47,-0.8,1.03,406
0.04,0.49,-0.94,0.98,407
-0.17,0.49,-1.14,0.77,408
0.09,0.45,-0.78,1,409
0.09,0.46,-0.8,1,410
0.04,0.48,-0.9,0.98,411
-0.06,0.47,-0.98,0.87,412
0.04,0.49,-0.94,1.02,413
0.09,0.46,-0.82,1.01,414
0.07,0.48,-0.85,0.99,415
-0.13,0.46,-1.04,0.75,416
-0.22,0.49,-1.18,0.76,417
0.05,0.46,-0.87,0.97,418
-0.09,0.46,-1,0.82,419
-0.13,0.46,-1.02,0.78,420
-0.17,0.48,-1.11,0.76,421
-0,0.47,-0.93,0.92,422
-0.2,0.49,-1.2,0.76,423
0.09,0.48,-0.88,1.04,424
0,0.48,-0.94,0.94,425
-0.13,0.47,-1.05,0.8,426
-0.1,0.47,-1.01,0.81,427
-0.06,0.48,-0.99,0.88,428
0.07,0.48,-0.86,1.01,429
-0.07,0.45,-0.96,0.82,430
-0.08,0.47,-1.02,0.84,431
-0.04,0.49,-0.99,0.91,432
0.27,0.48,-0.67,1.2,433
-0.04,0.47,-0.97,0.9,434
-0.14,0.48,-1.1,0.78,435
0.05,0.48,-0.86,1.02,436
0.05,0.46,-0.86,0.97,437
0.19,0.47,-0.74,1.13,438
-0.11,0.48,-1.08,0.85,439
0.01,0.47,-0.92,0.94,440
-0.09,0.46,-1,0.83,441
0.01,0.48,-0.91,0.95,442
0.04,0.45,-0.86,0.95,443
-0.16,0.51,-1.18,0.82,444
0.11,0.47,-0.8,1.05,445
0.12,0.48,-0.84,1.04,446
0.1,0.48,-0.84,1.06,447
-0.05,0.47,-0.97,0.87,448
0.04,0.47,-0.88,0.99,449
-0.09,0.45,-0.98,0.8,450
0.2,0.48,-0.74,1.17,451
-0.06,0.48,-1.02,0.89,452
0.13,0.47,-0.8,1.06,453
-0.07,0.47,-1,0.83,454
-0,0.47,-0.93,0.9,455
-0.08,0.49,-1.05,0.88,456
0.19,0.46,-0.71,1.1,457
0.06,0.47,-0.87,1,458
-0.36,0.46,-1.27,0.53,459
-0.19,0.47,-1.11,0.73,460
-0.13,0.48,-1.09,0.79,461
0.05,0.48,-0.89,1.03,462
0.05,0.48,-0.88,1,463
-0.09,0.47,-1.01,0.87,464
0.16,0.48,-0.75,1.1,465
0.06,0.47,-0.83,0.96,466
-0.12,0.46,-1.02,0.78,467
0.11,0.49,-0.82,1.04,468
-0.02,0.46,-0.91,0.89,469
0.12,0.47,-0.76,1.05,470
0.12,0.48,-0.82,1.07,471
0.19,0.47,-0.73,1.11,472
0.13,0.47,-0.76,1.06,473
0.15,0.47,-0.78,1.09,474
0.06,0.47,-0.86,0.99,475
0.15,0.46,-0.73,1.1,476
0.11,0.47,-0.79,1.04,477
-0.02,0.49,-0.98,0.94,478
-0.01,0.48,-0.92,0.95,479
-0.05,0.48,-1.02,0.88,480
-0.07,0.49,-1.04,0.85,481
-0.07,0.48,-1.04,0.88,482
-0.03,0.49,-1,0.93,483
-0.03,0.49,-0.98,0.9,484
-0.06,0.48,-0.97,0.88,485
-0.07,0.47,-1,0.83,486
0.06,0.46,-0.84,0.96,487
-0.02,0.47,-0.98,0.91,488
0,0.48,-0.93,0.97,489
-0.04,0.45,-0.94,0.82,490
-0.06,0.46,-0.98,0.83,491
0.02,0.45,-0.86,0.9,492
0.16,0.48,-0.76,1.12,493
-0.09,0.48,-1.03,0.85,494
-0.01,0.47,-0.95,0.95,495
-0.02,0.48,-0.96,0.95,496
-0.13,0.48,-1.07,0.82,497
-0.06,0.45,-0.95,0.82,498
-0.06,0.46,-1,0.86,499
0.01,0.46,-0.91,0.91,500
-0.03,0.46,-0.91,0.86,501
0,0.46,-0.9,0.92,502
-0.01,0.45,-0.91,0.89,503
0.01,0.47,-0.93,0.94,504
-0.01,0.46,-0.92,0.91,505
-0,0.47,-0.91,0.9,506
0.16,0.46,-0.73,1.07,507
-0.04,0.46,-0.94,0.87,508
-0.02,0.46,-0.93,0.89,509
0.02,0.47,-0.9,0.95,510
-0.01,0.46,-0.93,0.9,511
-0,0.47,-0.94,0.92,512
-0.01,0.49,-0.96,0.94,513
-0.16,0.49,-1.13,0.79,514
-0.11,0.45,-1.01,0.76,515
-0.12,0.47,-1.04,0.82,516
-0.27,0.47,-1.22,0.65,517
-0.1,0.47,-1.02,0.86,518
-0.04,0.46,-0.94,0.86,519
-0.03,0.45,-0.91,0.86,520
0.02,0.47,-0.92,0.94,521
0.02,0.47,-0.91,0.95,522
-0.03,0.46,-0.93,0.84,523
-0.05,0.45,-0.95,0.81,524
-0.1,0.49,-1.08,0.86,525
-0.2,0.45,-1.11,0.68,526
-0.02,0.45,-0.9,0.86,527
-0.09,0.45,-1.01,0.79,528
0.04,0.48,-0.91,0.98,529
-0.17,0.44,-1.05,0.69,530
0.12,0.46,-0.77,1.04,531
0.06,0.46,-0.82,0.94,532
0.23,0.47,-0.67,1.16,533
0.13,0.47,-0.77,1.06,534
-0.17,0.44,-1.02,0.67,535
0.11,0.46,-0.79,1.03,536
-0.15,0.45,-1.02,0.73,537
0.07,0.47,-0.84,0.99,538
-0.09,0.44,-0.99,0.76,539
0.02,0.46,-0.9,0.9,540
0.02,0.45,-0.87,0.89,541
-0.07,0.46,-0.94,0.83,542
0.05,0.46,-0.85,0.97,543
0.01,0.45,-0.87,0.88,544
0.17,0.47,-0.73,1.15,545
0.06,0.47,-0.86,0.99,546
-0,0.46,-0.92,0.9,547
-0.01,0.47,-0.91,0.92,548
0.01,0.48,-0.94,0.97,549
0.02,0.47,-0.92,0.95,550
0.03,0.47,-0.89,0.95,551
-0.14,0.47,-1.04,0.76,552
-0.13,0.48,-1.07,0.83,553
-0.01,0.46,-0.91,0.89,554
0.02,0.46,-0.9,0.94,555
-0,0.44,-0.86,0.87,556
-0.21,0.46,-1.09,0.69,557
-0.06,0.45,-0.95,0.83,558
-0,0.47,-0.95,0.93,559
-0.03,0.47,-0.94,0.87,560
-0.17,0.45,-1.09,0.71,561
-0.06,0.47,-0.98,0.85,562
-0.01,0.47,-0.94,0.89,563
0.01,0.46,-0.9,0.93,564
-0,0.47,-0.95,0.91,565
0.02,0.47,-0.94,0.92,566
-0.03,0.46,-0.93,0.88,567
-0.22,0.44,-1.09,0.62,568
-0.04,0.47,-0.98,0.88,569
-0.17,0.46,-1.08,0.73,570
-0.09,0.47,-1.02,0.78,571
-0.01,0.47,-0.91,0.88,572
-0.04,0.46,-0.96,0.87,573
-0.18,0.45,-1.05,0.67,574
-0.01,0.47,-0.96,0.9,575
0.02,0.46,-0.9,0.94,576
0.03,0.47,-0.88,0.93,577
0.01,0.45,-0.87,0.9,578
0.01,0.47,-0.89,0.93,579
-0.06,0.47,-0.98,0.87,580
-0.01,0.47,-0.94,0.91,581
0.04,0.46,-0.88,0.95,582
-0.01,0.46,-0.88,0.88,583
0,0.47,-0.94,0.92,584
-0.14,0.45,-1.03,0.73,585
0.02,0.47,-0.92,0.94,586
0.02,0.46,-0.87,0.93,587
-0.09,0.47,-1.05,0.85,588
-0,0.46,-0.89,0.91,589
-0.09,0.48,-1.04,0.86,590
-0.06,0.46,-0.95,0.85,591
0.05,0.48,-0.88,1,592
0.05,0.46,-0.85,0.95,593
-0.13,0.44,-0.99,0.72,594
-0.52,0.45,-1.46,0.34,595
-0.03,0.47,-0.98,0.91,596
0.04,0.46,-0.87,0.97,597
0.06,0.48,-0.86,0.99,598
-0.31,0.44,-1.2,0.55,599
0.22,0.46,-0.67,1.13,600
-0.03,0.48,-0.98,0.92,601
-0.11,0.48,-1.07,0.88,602
-0.04,0.48,-0.95,0.91,603
-0.04,0.45,-0.95,0.85,604
-0.05,0.46,-0.94,0.84,605
0.05,0.46,-0.86,0.94,606
-0.01,0.47,-0.92,0.9,607
-0.09,0.46,-0.99,0.8,608
-0.08,0.45,-0.92,0.8,609
0.21,0.48,-0.75,1.16,610
-0.12,0.48,-1.04,0.84,611
0.03,0.46,-0.86,0.94,612
0.24,0.47,-0.66,1.18,613
0.03,0.47,-0.9,0.97,614
0.03,0.47,-0.89,0.95,615
0.03,0.48,-0.94,0.99,616
0.02,0.5,-0.98,1.04,617
-0.19,0.47,-1.11,0.74,618
-0.25,0.47,-1.18,0.67,619
-0.07,0.47,-1,0.87,620
-0.1,0.47,-1.02,0.84,621
-0.07,0.47,-1.03,0.85,622
-0.16,0.48,-1.1,0.78,623
-0.01,0.49,-1,0.98,624
-0,0.48,-0.93,0.94,625
0.15,0.47,-0.74,1.09,626
0.24,0.46,-0.64,1.17,627
0.08,0.46,-0.8,0.97,628
-0.19,0.47,-1.11,0.76,629
0.12,0.48,-0.82,1.07,630
0.14,0.47,-0.78,1.07,631
-0.05,0.47,-0.96,0.85,632
0.06,0.48,-0.89,1.02,633
0.05,0.47,-0.88,0.98,634
-0.02,0.46,-0.94,0.88,635
0.03,0.47,-0.89,0.97,636
0.2,0.48,-0.72,1.18,637
0.1,0.47,-0.86,1.01,638
0.05,0.49,-0.92,1.04,639
-0.16,0.48,-1.09,0.77,640
0.09,0.47,-0.83,1.03,641
-0.05,0.47,-0.98,0.85,642
-0.05,0.48,-1.01,0.9,643
-0.03,0.48,-0.98,0.89,644
0,0.47,-0.92,0.92,645
0.17,0.48,-0.74,1.1,646
0.29,0.47,-0.6,1.25,647
0.11,0.48,-0.83,1.07,648
0.24,0.45,-0.65,1.15,649
-0.06,0.46,-0.95,0.87,650
-0.06,0.47,-1.01,0.9,651
-0.13,0.48,-1.08,0.8,652
-0.14,0.47,-1.08,0.77,653
0.25,0.48,-0.67,1.21,654
0.02,0.46,-0.88,0.95,655
0.14,0.48,-0.77,1.07,656
-0.07,0.47,-0.96,0.86,657
-0.14,0.47,-1.06,0.77,658
-0.13,0.48,-1.06,0.81,659
0.27,0.48,-0.69,1.24,660
-0.13,0.46,-1.06,0.79,661
-0.11,0.48,-1.1,0.83,662
0.01,0.46,-0.9,0.89,663
-0.1,0.48,-1.03,0.83,664
-0.08,0.47,-1.03,0.85,665
0.18,0.47,-0.74,1.1,666
-0.18,0.48,-1.1,0.75,667
-0.17,0.48,-1.11,0.77,668
0.07,0.46,-0.84,0.96,669
-0.03,0.49,-0.97,0.93,670
-0.03,0.47,-0.95,0.9,671
0.1,0.48,-0.82,1.05,672
-0,0.46,-0.89,0.91,673
-0.1,0.47,-1.04,0.81,674
-0.1,0.48,-1.04,0.84,675
-0.12,0.49,-1.12,0.84,676
-0.12,0.47,-1.06,0.82,677
0.11,0.45,-0.79,0.99,678
0.09,0.46,-0.81,1,679
-0.07,0.47,-0.99,0.87,680
0,0.47,-0.9,0.91,681
0.01,0.47,-0.9,0.93,682
-0.07,0.49,-1.03,0.87,683
0.11,0.47,-0.83,1.01,684
0.02,0.47,-0.92,0.95,685
0.02,0.47,-0.89,0.96,686
0.04,0.47,-0.88,0.97,687
-0.01,0.47,-0.93,0.9,688
0.05,0.47,-0.82,0.97,689
-0.08,0.46,-1,0.84,690
-0.06,0.47,-0.99,0.85,691
-0,0.48,-0.95,0.95,692
-0.03,0.47,-0.96,0.87,693
0.09,0.48,-0.85,1.02,694
0.06,0.46,-0.82,0.96,695
0.02,0.48,-0.95,0.98,696
-0.09,0.47,-1,0.84,697
-0.13,0.46,-1.03,0.75,698
0.09,0.47,-0.83,1.02,699
0.02,0.48,-0.92,0.96,700
0.01,0.48,-0.91,0.97,701
-0.12,0.49,-1.09,0.83,702
-0.1,0.47,-1.04,0.83,703
0.01,0.47,-0.94,0.92,704
-0.14,0.45,-1.03,0.75,705
0.01,0.49,-0.96,0.96,706
-0.01,0.46,-0.89,0.89,707
-0,0.46,-0.93,0.89,708
-0.12,0.44,-0.97,0.74,709
-0.02,0.47,-0.98,0.93,710
-0.03,0.47,-0.95,0.88,711
0,0.48,-0.95,0.95,712
0.02,0.47,-0.94,0.95,713
0.03,0.48,-0.92,0.95,714
0.01,0.45,-0.86,0.9,715
0.03,0.47,-0.9,0.94,716
0.03,0.47,-0.88,0.94,717
0.01,0.45,-0.88,0.89,718
0.01,0.46,-0.9,0.93,719
-0.01,0.46,-0.92,0.91,720
